farm_id,house_id,sex,breed,init_age_days,init_weight_kg,avg_temp_c,humidity_pct,nh3_ppm,co2_ppm,stocking_density,feed_intake_kg,feed_grade,vaccinated,antibiotic_days,adg_kg_day,fcr,market_age_days,mortality
4,3,암,삼원교잡(LYD),71.4,27.8,20.4,67.6,18.9,1702.0,1.2,1.59,표준,1,2,0.683,2.32,199,0
31,7,거세,이원교잡(LY),63.9,26.4,27.1,68.9,22.9,1495.0,0.98,2.18,표준,0,2,0.706,3.09,189,0
27,1,암,삼원교잡(LYD),68.0,26.6,17.3,73.9,6.2,1371.0,1.43,2.25,저가,1,4,0.786,2.86,180,0
18,4,거세,삼원교잡(LYD),66.8,22.2,20.2,73.7,25.6,2110.0,1.13,1.82,표준,1,2,0.705,2.58,198,0
18,7,암,삼원교잡(LYD),65.1,24.0,25.5,62.0,13.3,1725.0,1.27,2.04,표준,1,2,0.766,2.67,184,0
35,8,거세,삼원교잡(LYD),70.2,23.4,17.1,74.6,20.5,1561.0,1.55,1.87,표준,1,3,0.746,2.51,193,0
4,3,거세,삼원교잡(LYD),60.0,21.4,29.1,61.5,10.6,1582.0,1.44,2.26,표준,1,1,0.772,2.93,181,0
28,6,거세,이원교잡(LY),68.4,20.0,21.1,67.4,5.3,1925.0,1.14,2.04,고급,1,3,0.965,2.12,167,0
9,2,거세,이원교잡(LY),69.5,23.7,25.5,67.0,7.1,1155.0,1.56,2.6,고급,1,1,0.963,2.7,164,0
4,1,암,삼원교잡(LYD),63.2,24.2,25.5,56.4,13.0,1060.0,1.47,2.35,저가,1,4,0.719,3.27,190,0
22,3,거세,이원교잡(LY),77.6,25.3,21.4,57.6,18.1,1383.0,1.12,2.78,저가,1,1,0.91,3.05,176,0
40,8,거세,삼원교잡(LYD),67.0,26.7,20.1,87.3,15.2,911.0,1.17,2.16,저가,1,2,0.885,2.44,167,0
30,6,암,삼원교잡(LYD),68.8,25.6,21.8,56.1,13.5,1477.0,1.55,2.94,표준,1,4,0.965,3.05,162,0
31,4,거세,삼원교잡(LYD),67.0,24.2,24.9,68.7,21.7,1548.0,1.49,2.3,저가,1,2,0.75,3.07,188,0
29,3,암,삼원교잡(LYD),69.6,22.3,18.1,70.8,15.0,1466.0,0.92,2.14,표준,1,1,0.828,2.59,182,0
32,2,암,삼원교잡(LYD),76.5,27.6,17.2,64.5,16.7,1319.0,1.05,3.02,표준,1,2,0.976,3.1,166,0
21,3,거세,삼원교잡(LYD),82.4,24.7,27.9,71.7,33.7,2327.0,1.47,1.75,저가,1,2,0.55,3.18,247,0
6,2,거세,삼원교잡(LYD),73.7,23.7,19.1,68.3,15.0,1970.0,1.01,2.13,저가,1,3,0.892,2.39,176,0
34,2,거세,삼원교잡(LYD),75.4,24.4,23.4,56.3,10.8,1451.0,1.5,1.8,표준,1,4,0.752,2.39,196,0
19,6,암,삼원교잡(LYD),78.6,22.8,21.2,70.4,17.9,1547.0,1.78,1.75,표준,1,3,0.644,2.71,222,0
21,2,거세,삼원교잡(LYD),71.2,23.4,21.4,59.6,19.4,2188.0,1.39,1.68,표준,1,1,0.731,2.3,197,0
15,1,거세,삼원교잡(LYD),77.9,23.3,27.7,82.4,16.8,1208.0,1.07,2.49,표준,1,7,0.821,3.03,189,1
8,5,거세,이원교잡(LY),74.0,24.1,21.7,69.3,15.9,1017.0,1.34,1.9,표준,0,3,0.764,2.49,193,0
38,3,암,삼원교잡(LYD),70.7,27.0,20.6,58.0,23.9,1613.0,1.56,2.22,고급,1,1,0.831,2.68,177,0
32,4,암,삼원교잡(LYD),71.8,26.2,20.9,68.4,23.1,1707.0,1.32,2.57,저가,1,4,0.734,3.5,193,0
26,2,암,삼원교잡(LYD),60.9,29.6,20.0,55.8,14.3,1744.0,1.42,2.44,고급,1,2,0.945,2.58,151,0
17,2,암,삼원교잡(LYD),71.5,28.6,19.3,67.6,11.1,1914.0,1.1,2.42,고급,1,6,0.975,2.49,160,0
33,4,암,삼원교잡(LYD),62.3,30.9,20.0,62.7,17.6,1134.0,1.12,2.66,표준,1,1,0.839,3.17,163,0
22,6,거세,이원교잡(LY),61.9,26.7,28.7,56.7,11.1,796.0,1.53,2.78,표준,1,3,0.909,3.06,159,0
18,4,암,삼원교잡(LYD),71.0,26.6,24.8,56.6,20.3,1208.0,1.12,1.92,고급,1,5,0.72,2.67,194,0
19,5,암,삼원교잡(LYD),64.4,23.5,20.6,89.3,17.5,1791.0,0.7,2.44,고급,1,3,0.926,2.64,163,0
10,5,거세,삼원교잡(LYD),70.0,27.5,25.9,65.9,31.0,1039.0,1.22,2.22,저가,1,1,0.715,3.1,192,0
4,3,암,삼원교잡(LYD),70.7,23.0,15.7,60.7,23.8,533.0,1.38,2.26,표준,1,3,0.788,2.86,187,0
23,3,암,삼원교잡(LYD),70.9,20.6,27.5,59.0,8.5,1572.0,1.56,1.85,저가,0,5,0.597,3.09,229,0
36,4,거세,삼원교잡(LYD),65.5,29.6,27.2,69.7,11.9,1216.0,1.71,2.14,저가,0,5,0.638,3.36,199,0
3,1,거세,이원교잡(LY),74.5,21.3,30.9,58.6,3.5,636.0,1.32,2.17,표준,0,2,0.739,2.94,201,0
35,6,거세,삼원교잡(LYD),69.6,26.3,26.0,54.1,2.2,1537.0,1.46,2.73,표준,1,3,0.984,2.77,160,0
34,5,암,삼원교잡(LYD),72.2,22.4,23.7,64.7,15.7,1307.0,1.33,1.95,고급,1,2,0.757,2.58,195,1
12,3,거세,삼원교잡(LYD),64.0,28.4,27.2,64.6,7.8,2338.0,1.39,1.58,저가,1,5,0.59,2.69,211,0
26,3,암,이원교잡(LY),69.1,28.8,19.5,60.8,24.8,1544.0,1.25,2.3,표준,1,2,0.785,2.93,179,0
7,3,거세,삼원교잡(LYD),75.5,26.6,20.4,56.1,21.9,1793.0,1.4,1.92,저가,1,4,0.748,2.57,194,0
