,count,unique,top,freq,mean,std,min,25%,50%,75%,max
farm_id,4000.0,,,,20.54425,11.54821987507472,1.0,10.0,20.0,31.0,40.0
house_id,4000.0,,,,4.4165,2.2826148016218473,1.0,2.0,4.0,6.0,8.0
sex,4000,2,거세,2020,,,,,,,
breed,4000,2,삼원교잡(LYD),3223,,,,,,,
init_age_days,4000.0,,,,70.0312,4.886848870486046,60.0,66.6,69.9,73.3,85.0
init_weight_kg,4000.0,,,,25.147049999999997,3.000236099320005,18.0,23.1,25.2,27.2,34.0
avg_temp_c,4000.0,,,,22.106175000000004,3.954122929476315,10.0,19.4,22.1,24.7,33.0
humidity_pct,4000.0,,,,65.376025,10.059866943956441,35.0,58.6,65.5,72.1,95.0
nh3_ppm,4000.0,,,,15.004275,5.976075434076568,2.0,10.9,15.0,19.1,34.8
co2_ppm,4000.0,,,,1499.3555,491.09641012815416,500.0,1159.0,1491.0,1832.25,3544.0
stocking_density,4000.0,,,,1.2977275,0.2515048198590895,0.7,1.13,1.3,1.4625,2.2
feed_intake_kg,4000.0,,,,2.2934500000000004,0.29698703309144003,1.5,2.09,2.29,2.49,3.2
feed_grade,4000,3,표준,2062,,,,,,,
vaccinated,4000.0,,,,0.8485,0.3585803884399472,0.0,1.0,1.0,1.0,1.0
antibiotic_days,4000.0,,,,2.5135,1.5861736149249777,0.0,1.0,2.0,3.0,10.0
adg_kg_day,4000.0,,,,0.83618775,0.10202844432216047,0.55,0.768,0.837,0.907,1.162
fcr,4000.0,,,,2.7562925000000003,0.3011190754803729,1.82,2.55,2.74,2.94,4.11
market_age_days,4000.0,,,,179.168,15.23605297731607,142.0,169.0,178.0,188.0,248.0
mortality,4000.0,,,,0.04225,0.20118413521961917,0.0,0.0,0.0,0.0,1.0
