timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,sensor_type,activity_type,activity_code,subject_id,notes,recording_id
1632928174318,-0.2783203,-1.0090942,0.17962646,4.5625,-11.515625,-14.921875,Respeck,Falling on the right,46,s1817455,,Respeck_s1817455_Falling on the right_29-09-2021_16-09-36
1632928174348,-0.3059082,-0.94976807,0.15692139,4.046875,-9.6875,-17.28125,Respeck,Falling on the right,46,s1817455,,Respeck_s1817455_Falling on the right_29-09-2021_16-09-36
1632928174394,-0.33984375,-0.925354,0.17303467,7.015625,-16.09375,-20.59375,Respeck,Falling on the right,46,s1817455,,Respeck_s1817455_Falling on the right_29-09-2021_16-09-36
1632928174440,-0.33764648,-0.94415283,0.1293335,8.1875,-14.6875,-20.53125,Respeck,Falling on the right,46,s1817455,,Respeck_s1817455_Falling on the right_29-09-2021_16-09-36
1632928174470,-0.3413086,-0.92803955,0.14398193,10.546875,-10.84375,-16.5625,Respeck,Falling on the right,46,s1817455,,Respeck_s1817455_Falling on the right_29-09-2021_16-09-36
1632928174513,-0.3642578,-0.9031372,0.13128662,10.78125,-8.28125,-17.34375,Respeck,Falling on the right,46,s1817455,,Respeck_s1817455_Falling on the right_29-09-2021_16-09-36
1632928174543,-0.3737793,-0.8880005,0.12322998,14.3125,-10.84375,-18.484375,Respeck,Falling on the right,46,s1817455,,Respeck_s1817455_Falling on the right_29-09-2021_16-09-36
1632928174587,-0.37353516,-0.8880005,0.1293335,15.859375,-14.5,-22.375,Respeck,Falling on the right,46,s1817455,,Respeck_s1817455_Falling on the right_29-09-2021_16-09-36
1632928174633,-0.40625,-0.8413696,0.121276855,14.40625,-17.40625,-26.328125,Respeck,Falling on the right,46,s1817455,,Respeck_s1817455_Falling on the right_29-09-2021_16-09-36
1632928174663,-0.38720703,-0.8027954,0.10418701,15.328125,-18.671875,-30.40625,Respeck,Falling on the right,46,s1817455,,Respeck_s1817455_Falling on the right_29-09-2021_16-09-36
1632928174710,-0.4326172,-0.72052,0.10101318,12.09375,-18.0625,-34.34375,Respeck,Falling on the right,46,s1817455,,Respeck_s1817455_Falling on the right_29-09-2021_16-09-36
1632928174755,-0.42578125,-0.69537354,0.11785889,11.3125,-13.78125,-35.421875,Respeck,Falling on the right,46,s1817455,,Respeck_s1817455_Falling on the right_29-09-2021_16-09-36
1632928174786,-0.4477539,-0.62506104,0.10003662,4.734375,-22.4375,-34.203125,Respeck,Falling on the right,46,s1817455,,Respeck_s1817455_Falling on the right_29-09-2021_16-09-36
1632928174829,-0.3544922,-0.49713135,0.059265137,0.875,-19.359375,-33.875,Respeck,Falling on the right,46,s1817455,,Respeck_s1817455_Falling on the right_29-09-2021_16-09-36
1632928174876,-0.2770996,-0.47418213,0.11395264,-6.375,-19.3125,-32.203125,Respeck,Falling on the right,46,s1817455,,Respeck_s1817455_Falling on the right_29-09-2021_16-09-36
1632928174905,-0.2668457,-0.18951416,0.109069824,-13.890625,-5.515625,-35.5,Respeck,Falling on the right,46,s1817455,,Respeck_s1817455_Falling on the right_29-09-2021_16-09-36
1632928174950,-0.055664062,-0.09527588,-0.09649658,-19.46875,-28.46875,-34.625,Respeck,Falling on the right,46,s1817455,,Respeck_s1817455_Falling on the right_29-09-2021_16-09-36
1632928174979,0.07788086,0.10687256,-0.05279541,-13.96875,-58.546875,-33.8125,Respeck,Falling on the right,46,s1817455,,Respeck_s1817455_Falling on the right_29-09-2021_16-09-36
1632928175054,-0.4345703,0.08905029,-0.17071533,-18.6875,-69.453125,-62.640625,Respeck,Falling on the right,46,s1817455,,Respeck_s1817455_Falling on the right_29-09-2021_16-09-36
1632928175069,-1.1628418,-2,-0.7749634,-25.6875,-80.703125,-87.65625,Respeck,Falling on the right,46,s1817455,,Respeck_s1817455_Falling on the right_29-09-2021_16-09-36
1632928175101,-0.8413086,-1.6953735,-0.8928833,-14.40625,-15.4375,-48.5,Respeck,Falling on the right,46,s1817455,,Respeck_s1817455_Falling on the right_29-09-2021_16-09-36
1632928175175,-2,-1.8933716,-2,170.64062,-77.828125,-81.09375,Respeck,Falling on the right,46,s1817455,,Respeck_s1817455_Falling on the right_29-09-2021_16-09-36
1632928175189,-1.0026855,-0.014465332,-1.3862915,121.546875,-61.34375,-6.5,Respeck,Falling on the right,46,s1817455,,Respeck_s1817455_Falling on the right_29-09-2021_16-09-36
1632928175219,-0.9626465,0.602478,-1.5276489,181.01562,-22.375,-27.8125,Respeck,Falling on the right,46,s1817455,,Respeck_s1817455_Falling on the right_29-09-2021_16-09-36
1632928175300,-0.6491699,0.29412842,-0.55133057,10.578125,-9.875,-35.984375,Respeck,Falling on the right,46,s1817455,,Respeck_s1817455_Falling on the right_29-09-2021_16-09-36
1632928175309,-0.5673828,0.8012085,-0.59698486,58.734375,46.40625,-7.296875,Respeck,Falling on the right,46,s1817455,,Respeck_s1817455_Falling on the right_29-09-2021_16-09-36
1632928175338,-0.6035156,0.5302124,-0.40924072,30.90625,32.96875,-12.984375,Respeck,Falling on the right,46,s1817455,,Respeck_s1817455_Falling on the right_29-09-2021_16-09-36
