timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,sensor_type,activity_type,activity_code,subject_id,notes,recording_id
1632922877194,-0.34692383,-0.07232666,1.0199585,0.125,0.203125,-0.625,Respeck,Lying down on stomach,8,s1817455,,Respeck_s1817455_Lying down on stomach_29-09-2021_14-41-47
1632922877203,-0.35107422,-0.077697754,1.013855,0.0,0.171875,-0.515625,Respeck,Lying down on stomach,8,s1817455,,Respeck_s1817455_Lying down on stomach_29-09-2021_14-41-47
1632922877235,-0.35180664,-0.0791626,1.0184937,0.25,0.046875,-0.5625,Respeck,Lying down on stomach,8,s1817455,,Respeck_s1817455_Lying down on stomach_29-09-2021_14-41-47
1632922877311,-0.35620117,-0.07574463,1.0248413,0.140625,0.21875,-0.5625,Respeck,Lying down on stomach,8,s1817455,,Respeck_s1817455_Lying down on stomach_29-09-2021_14-41-47
1632922877326,-0.35424805,-0.077697754,1.015564,0.1875,0.3125,-0.609375,Respeck,Lying down on stomach,8,s1817455,,Respeck_s1817455_Lying down on stomach_29-09-2021_14-41-47
1632922877357,-0.34838867,-0.077697754,1.0160522,-0.1875,0.34375,-0.640625,Respeck,Lying down on stomach,8,s1817455,,Respeck_s1817455_Lying down on stomach_29-09-2021_14-41-47
1632922877432,-0.35229492,-0.08306885,1.0092163,0.609375,0.390625,-0.546875,Respeck,Lying down on stomach,8,s1817455,,Respeck_s1817455_Lying down on stomach_29-09-2021_14-41-47
1632922877445,-0.3527832,-0.078430176,1.0216675,0.40625,0.703125,-0.4375,Respeck,Lying down on stomach,8,s1817455,,Respeck_s1817455_Lying down on stomach_29-09-2021_14-41-47
1632922877476,-0.35009766,-0.08062744,1.0114136,-0.328125,0.53125,-0.625,Respeck,Lying down on stomach,8,s1817455,,Respeck_s1817455_Lying down on stomach_29-09-2021_14-41-47
1632922877522,-0.3581543,-0.078186035,1.0233765,0.234375,0.625,-0.421875,Respeck,Lying down on stomach,8,s1817455,,Respeck_s1817455_Lying down on stomach_29-09-2021_14-41-47
1632922877551,-0.3479004,-0.07574463,1.0180054,-0.125,0.546875,-0.65625,Respeck,Lying down on stomach,8,s1817455,,Respeck_s1817455_Lying down on stomach_29-09-2021_14-41-47
