timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,sensor_type,activity_type,activity_code,subject_id,notes,recording_id
1632924232944,-1.5263672,0.2841797,0.107421875,9.0625,11.34375,-5.71875,0,0,0,Thingy,Climbing stairs,12,s1817455,,Thingy_s1817455_Climbing stairs_29-09-2021_15-04-00
1632924232974,-1.34375,0.41015625,-0.20507812,-15.59375,2.5,4.3125,0,0,0,Thingy,Climbing stairs,12,s1817455,,Thingy_s1817455_Climbing stairs_29-09-2021_15-04-00
1632924233066,-1.5126953,0.29101562,-0.3701172,12.375,9.9375,28.34375,0,0,0,Thingy,Climbing stairs,12,s1817455,,Thingy_s1817455_Climbing stairs_29-09-2021_15-04-00
1632924233071,-1.1113281,0.5839844,-0.21191406,-34.8125,-4.15625,12.25,-53.125,11.5625,-118.875,Thingy,Climbing stairs,12,s1817455,,Thingy_s1817455_Climbing stairs_29-09-2021_15-04-00
1632924233093,-0.7841797,0.4423828,-0.20898438,-65.3125,-74.90625,-4.59375,0,0,0,Thingy,Climbing stairs,12,s1817455,,Thingy_s1817455_Climbing stairs_29-09-2021_15-04-00
1632924233152,-0.86328125,0.22851562,-0.06542969,-4.78125,-107,3.40625,0,0,0,Thingy,Climbing stairs,12,s1817455,,Thingy_s1817455_Climbing stairs_29-09-2021_15-04-00
1632924233186,-1.0917969,0.30078125,0.009765625,24.8125,-59.75,11.09375,0,0,0,Thingy,Climbing stairs,12,s1817455,,Thingy_s1817455_Climbing stairs_29-09-2021_15-04-00
1632924233213,-0.78125,0.2548828,0.038085938,4.75,-68.375,41.84375,0,0,0,Thingy,Climbing stairs,12,s1817455,,Thingy_s1817455_Climbing stairs_29-09-2021_15-04-00
1632924233273,-0.5595703,0.20410156,-0.030273438,-9.34375,-21.5,39.875,0,0,0,Thingy,Climbing stairs,12,s1817455,,Thingy_s1817455_Climbing stairs_29-09-2021_15-04-00
1632924233302,-0.3486328,0.2705078,-0.10839844,-21.9375,-0.4375,5.15625,0,0,0,Thingy,Climbing stairs,12,s1817455,,Thingy_s1817455_Climbing stairs_29-09-2021_15-04-00
1632924233348,-0.1953125,0.033203125,0.3486328,3.21875,-71.71875,-9.71875,0,0,0,Thingy,Climbing stairs,12,s1817455,,Thingy_s1817455_Climbing stairs_29-09-2021_15-04-00
1632924233392,-0.70410156,0.2783203,0.051757812,-29,-74.21875,5.78125,0,0,0,Thingy,Climbing stairs,12,s1817455,,Thingy_s1817455_Climbing stairs_29-09-2021_15-04-00
1632924233430,-0.4375,0.19335938,0.22949219,-5.15625,-26.0625,12.96875,0,0,0,Thingy,Climbing stairs,12,s1817455,,Thingy_s1817455_Climbing stairs_29-09-2021_15-04-00
1632924233456,-0.6386719,0.25878906,0.31933594,1.25,-62.6875,24.8125,0,0,0,Thingy,Climbing stairs,12,s1817455,,Thingy_s1817455_Climbing stairs_29-09-2021_15-04-00
1632924233513,-0.6435547,0.33496094,0.5839844,-8.6875,-33.75,8.34375,0,0,0,Thingy,Climbing stairs,12,s1817455,,Thingy_s1817455_Climbing stairs_29-09-2021_15-04-00
1632924233542,-1.0976562,0.23730469,0.6933594,-14.59375,-14.71875,-7.28125,0,0,0,Thingy,Climbing stairs,12,s1817455,,Thingy_s1817455_Climbing stairs_29-09-2021_15-04-00
1632924233573,-1.4013672,0.26464844,0.74902344,-12.40625,38.8125,-35.5625,-59.875,15.5,-98,Thingy,Climbing stairs,12,s1817455,,Thingy_s1817455_Climbing stairs_29-09-2021_15-04-00
