timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,sensor_type,activity_type,activity_code,subject_id,notes,recording_id
1632927893270,-1.0058594,0.25585938,0.0068359375,-4.59375,-7.6875,1.375,0,0,0,Thingy,Falling on the back,47,s1817455,,Thingy_s1817455_Falling on the back_29-09-2021_16-04-56
1632927893330,-0.9892578,0.24414062,0.0146484375,-5.21875,-9.75,-0.46875,0,0,0,Thingy,Falling on the back,47,s1817455,,Thingy_s1817455_Falling on the back_29-09-2021_16-04-56
1632927893390,-0.9892578,0.23046875,0.009765625,-4.96875,-12.8125,-2.78125,0,0,0,Thingy,Falling on the back,47,s1817455,,Thingy_s1817455_Falling on the back_29-09-2021_16-04-56
1632927893392,-0.9746094,0.22851562,0.024414062,-5.28125,-13.53125,-4.4375,0,0,0,Thingy,Falling on the back,47,s1817455,,Thingy_s1817455_Falling on the back_29-09-2021_16-04-56
1632927893453,-0.9746094,0.2265625,0.033203125,-5.21875,-14.46875,-5.46875,0,0,0,Thingy,Falling on the back,47,s1817455,,Thingy_s1817455_Falling on the back_29-09-2021_16-04-56
1632927893480,-0.96484375,0.24023438,0.037109375,-5.625,-15.9375,-7.65625,0,0,0,Thingy,Falling on the back,47,s1817455,,Thingy_s1817455_Falling on the back_29-09-2021_16-04-56
1632927893541,-0.95214844,0.23925781,0.037109375,-7.46875,-17.75,-9.4375,-61.8125,17.75,-65.125,Thingy,Falling on the back,47,s1817455,,Thingy_s1817455_Falling on the back_29-09-2021_16-04-56
1632927893571,-0.9716797,0.24414062,0.036132812,-8.875,-20.375,-10.15625,0,0,0,Thingy,Falling on the back,47,s1817455,,Thingy_s1817455_Falling on the back_29-09-2021_16-04-56
1632927893601,-0.97265625,0.2421875,0.03125,-10.28125,-22.875,-11.375,0,0,0,Thingy,Falling on the back,47,s1817455,,Thingy_s1817455_Falling on the back_29-09-2021_16-04-56
1632927893663,-0.9765625,0.24804688,0.041992188,-11,-25.3125,-13.09375,0,0,0,Thingy,Falling on the back,47,s1817455,,Thingy_s1817455_Falling on the back_29-09-2021_16-04-56
1632927893691,-0.9550781,0.22363281,0.044921875,-10.875,-29,-14.6875,0,0,0,Thingy,Falling on the back,47,s1817455,,Thingy_s1817455_Falling on the back_29-09-2021_16-04-56
1632927893724,-0.9560547,0.2109375,0.060546875,-8.5,-34.71875,-16.5,0,0,0,Thingy,Falling on the back,47,s1817455,,Thingy_s1817455_Falling on the back_29-09-2021_16-04-56
