timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,sensor_type,activity_type,activity_code,subject_id,notes,recording_id
1632928324493,-0.9658203,0.13183594,-0.07519531,-5.15625,14.28125,12.90625,0,0,0,Thingy,Falling on the left,45,s1817455,,Thingy_s1817455_Falling on the left_29-09-2021_16-12-06
1632928324521,-0.98828125,0.08886719,-0.0703125,-13.6875,1.78125,10.90625,-33.875,27.125,-21,Thingy,Falling on the left,45,s1817455,,Thingy_s1817455_Falling on the left_29-09-2021_16-12-06
1632928324550,-0.9658203,0.091796875,-0.06542969,-14.25,0.25,8.75,0,0,0,Thingy,Falling on the left,45,s1817455,,Thingy_s1817455_Falling on the left_29-09-2021_16-12-06
1632928324615,-0.9482422,0.12988281,-0.08886719,-12.71875,-5.96875,14.3125,0,0,0,Thingy,Falling on the left,45,s1817455,,Thingy_s1817455_Falling on the left_29-09-2021_16-12-06
1632928324644,-0.9589844,0.15429688,-0.040039062,-10.8125,-9.625,23.09375,0,0,0,Thingy,Falling on the left,45,s1817455,,Thingy_s1817455_Falling on the left_29-09-2021_16-12-06
1632928324675,-0.9501953,0.0859375,-0.0859375,-7.21875,-19.28125,29.75,0,0,0,Thingy,Falling on the left,45,s1817455,,Thingy_s1817455_Falling on the left_29-09-2021_16-12-06
1632928324732,-0.9736328,0.091796875,-0.10253906,9.1875,-22.59375,32.25,0,0,0,Thingy,Falling on the left,45,s1817455,,Thingy_s1817455_Falling on the left_29-09-2021_16-12-06
1632928324763,-0.98339844,0.10449219,-0.14648438,15.96875,-28.1875,28.53125,0,0,0,Thingy,Falling on the left,45,s1817455,,Thingy_s1817455_Falling on the left_29-09-2021_16-12-06
1632928324791,-0.91796875,0.29492188,-0.13671875,6.3125,-26.53125,23.40625,0,0,0,Thingy,Falling on the left,45,s1817455,,Thingy_s1817455_Falling on the left_29-09-2021_16-12-06
1632928324851,-0.86328125,0.3984375,-0.07714844,-5.8125,-24.40625,36.59375,0,0,0,Thingy,Falling on the left,45,s1817455,,Thingy_s1817455_Falling on the left_29-09-2021_16-12-06
1632928324882,-0.92285156,0.2626953,-0.091796875,-22,-34.53125,46.59375,0,0,0,Thingy,Falling on the left,45,s1817455,,Thingy_s1817455_Falling on the left_29-09-2021_16-12-06
1632928324917,-0.90625,0.23828125,-0.06933594,-26.15625,-37.09375,50.875,0,0,0,Thingy,Falling on the left,45,s1817455,,Thingy_s1817455_Falling on the left_29-09-2021_16-12-06
1632928324973,-0.8105469,0.29492188,-0.036132812,-16.6875,-43.5,62.46875,0,0,0,Thingy,Falling on the left,45,s1817455,,Thingy_s1817455_Falling on the left_29-09-2021_16-12-06
1632928325005,-0.71777344,0.31152344,-0.05078125,-15.71875,-61.03125,77.4375,-28.1875,35.9375,-12.75,Thingy,Falling on the left,45,s1817455,,Thingy_s1817455_Falling on the left_29-09-2021_16-12-06
1632928325062,-0.6357422,0.2861328,-0.06640625,-5.6875,-67.1875,90.59375,0,0,0,Thingy,Falling on the left,45,s1817455,,Thingy_s1817455_Falling on the left_29-09-2021_16-12-06
1632928325095,-0.5,0.21484375,-0.072265625,-11.375,-79.46875,97.4375,0,0,0,Thingy,Falling on the left,45,s1817455,,Thingy_s1817455_Falling on the left_29-09-2021_16-12-06
1632928325123,-0.4140625,0.15917969,-0.0546875,-2.875,-67.75,106.0625,0,0,0,Thingy,Falling on the left,45,s1817455,,Thingy_s1817455_Falling on the left_29-09-2021_16-12-06
1632928325151,-0.38867188,0.099609375,-0.0546875,-12.21875,-85.9375,128.15625,0,0,0,Thingy,Falling on the left,45,s1817455,,Thingy_s1817455_Falling on the left_29-09-2021_16-12-06
1632928325213,-0.13085938,0.140625,-0.09667969,-3.125,-103.9375,152.125,0,0,0,Thingy,Falling on the left,45,s1817455,,Thingy_s1817455_Falling on the left_29-09-2021_16-12-06
1632928325242,0.016601562,0.46191406,-0.05859375,-53.125,-108.09375,152.9375,0,0,0,Thingy,Falling on the left,45,s1817455,,Thingy_s1817455_Falling on the left_29-09-2021_16-12-06
1632928325272,0.21386719,1.1523438,0.6904297,-7.09375,-152.03125,192.40625,0,0,0,Thingy,Falling on the left,45,s1817455,,Thingy_s1817455_Falling on the left_29-09-2021_16-12-06
1632928325332,-0.45507812,1.3623047,1.4072266,-56.71875,-142.5,312.34375,0,0,0,Thingy,Falling on the left,45,s1817455,,Thingy_s1817455_Falling on the left_29-09-2021_16-12-06
1632928325362,0.66796875,1.9023438,1.9619141,125.15625,-137.09375,299.15625,0,0,0,Thingy,Falling on the left,45,s1817455,,Thingy_s1817455_Falling on the left_29-09-2021_16-12-06
1632928325397,1.4228516,1.9169922,1.6220703,35.8125,-105.03125,160.75,0,0,0,Thingy,Falling on the left,45,s1817455,,Thingy_s1817455_Falling on the left_29-09-2021_16-12-06
1632928325452,1.2099609,1.4482422,0.48339844,12.3125,-120.71875,70.59375,0,0,0,Thingy,Falling on the left,45,s1817455,,Thingy_s1817455_Falling on the left_29-09-2021_16-12-06
1632928325481,1.2871094,1.0849609,0.6220703,-13.4375,-74.71875,32.1875,0,0,0,Thingy,Falling on the left,45,s1817455,,Thingy_s1817455_Falling on the left_29-09-2021_16-12-06
1632928325510,0.40722656,0.11035156,-0.055664062,-76.625,-109.8125,94.09375,36.75,37.3125,-14.5625,Thingy,Falling on the left,45,s1817455,,Thingy_s1817455_Falling on the left_29-09-2021_16-12-06
1632928325576,0.84277344,-0.041992188,-0.24121094,56.375,-80.9375,43.78125,0,0,0,Thingy,Falling on the left,45,s1817455,,Thingy_s1817455_Falling on the left_29-09-2021_16-12-06
