timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,sensor_type,activity_type,activity_code,subject_id,notes,recording_id
1632928450942,-0.96484375,0.16992188,-0.032226562,-1.25,-4.40625,1.4375,0,0,0,Thingy,Falling on the right,46,s1817455,,Thingy_s1817455_Falling on the right_29-09-2021_16-14-13
1632928451002,-0.9482422,0.20898438,-0.022460938,-1.71875,-6.84375,1.5625,0,0,0,Thingy,Falling on the right,46,s1817455,,Thingy_s1817455_Falling on the right_29-09-2021_16-14-13
1632928451034,-0.93359375,0.25878906,-0.036132812,-4.59375,-6.71875,5.28125,-46.25,-10.375,11,Thingy,Falling on the right,46,s1817455,,Thingy_s1817455_Falling on the right_29-09-2021_16-14-13
1632928451063,-0.9453125,0.28320312,-0.029296875,-6.6875,-8.59375,11.4375,0,0,0,Thingy,Falling on the right,46,s1817455,,Thingy_s1817455_Falling on the right_29-09-2021_16-14-13
1632928451152,-0.8984375,0.24121094,-0.016601562,-10.09375,-9.21875,12,0,0,0,Thingy,Falling on the right,46,s1817455,,Thingy_s1817455_Falling on the right_29-09-2021_16-14-13
1632928451154,-0.8720703,0.140625,0.037109375,-2.34375,-0.25,3.09375,0,0,0,Thingy,Falling on the right,46,s1817455,,Thingy_s1817455_Falling on the right_29-09-2021_16-14-13
1632928451181,-0.9111328,0.14160156,0.12695312,2.84375,5.875,-15.40625,0,0,0,Thingy,Falling on the right,46,s1817455,,Thingy_s1817455_Falling on the right_29-09-2021_16-14-13
1632928451242,-0.9746094,0.13183594,0.15625,11.625,-6.53125,-20.65625,0,0,0,Thingy,Falling on the right,46,s1817455,,Thingy_s1817455_Falling on the right_29-09-2021_16-14-13
1632928451272,-0.9296875,0.21484375,0.12890625,10.40625,2.5625,-19.875,0,0,0,Thingy,Falling on the right,46,s1817455,,Thingy_s1817455_Falling on the right_29-09-2021_16-14-13
1632928451304,-0.8964844,0.23046875,0.10546875,8.28125,7.21875,-21.75,0,0,0,Thingy,Falling on the right,46,s1817455,,Thingy_s1817455_Falling on the right_29-09-2021_16-14-13
1632928451360,-0.86816406,0.234375,0.055664062,-1.3125,14.40625,-27.5625,0,0,0,Thingy,Falling on the right,46,s1817455,,Thingy_s1817455_Falling on the right_29-09-2021_16-14-13
1632928451399,-0.79785156,0.12402344,0.041015625,-2.03125,30.34375,-35.3125,0,0,0,Thingy,Falling on the right,46,s1817455,,Thingy_s1817455_Falling on the right_29-09-2021_16-14-13
