timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,sensor_type,activity_type,activity_code,subject_id,notes,recording_id
1632923673531,-0.7783203,0.50390625,-0.061523438,-39.875,-45.65625,-17.53125,0.0,0.0,0.0,Thingy,Walking at normal speed,1,s1817455,,Thingy_s1817455_Walking at normal speed_29-09-2021_14-55-03
1632923673561,-0.98535156,0.12011719,-0.2861328,19.21875,-46.59375,22.4375,-55.375,17.125,-104.0,Thingy,Walking at normal speed,1,s1817455,,Thingy_s1817455_Walking at normal speed_29-09-2021_14-55-03
1632923673593,-0.8691406,0.20898438,0.024414062,-11.4375,31.96875,1.625,0.0,0.0,0.0,Thingy,Walking at normal speed,1,s1817455,,Thingy_s1817455_Walking at normal speed_29-09-2021_14-55-03
1632923673653,-0.7685547,0.22558594,0.056640625,16.875,-39.5625,25.59375,0.0,0.0,0.0,Thingy,Walking at normal speed,1,s1817455,,Thingy_s1817455_Walking at normal speed_29-09-2021_14-55-03
1632923673712,-0.8457031,0.30078125,-0.0078125,25.625,-41.5625,26.78125,0.0,0.0,0.0,Thingy,Walking at normal speed,1,s1817455,,Thingy_s1817455_Walking at normal speed_29-09-2021_14-55-03
1632923673714,-0.88183594,0.34277344,0.11621094,9.0,-39.25,27.875,0.0,0.0,0.0,Thingy,Walking at normal speed,1,s1817455,,Thingy_s1817455_Walking at normal speed_29-09-2021_14-55-03
1632923673775,-0.8408203,0.22265625,0.12207031,2.46875,-34.4375,20.96875,0.0,0.0,0.0,Thingy,Walking at normal speed,1,s1817455,,Thingy_s1817455_Walking at normal speed_29-09-2021_14-55-03
1632923673802,-0.70703125,0.16113281,0.12402344,9.0,-12.9375,11.9375,0.0,0.0,0.0,Thingy,Walking at normal speed,1,s1817455,,Thingy_s1817455_Walking at normal speed_29-09-2021_14-55-03
1632923673862,-0.80371094,0.18457031,0.19921875,13.28125,3.84375,11.09375,0.0,0.0,0.0,Thingy,Walking at normal speed,1,s1817455,,Thingy_s1817455_Walking at normal speed_29-09-2021_14-55-03
1632923673893,-1.0205078,0.27246094,0.30078125,24.9375,-4.71875,8.8125,0.0,0.0,0.0,Thingy,Walking at normal speed,1,s1817455,,Thingy_s1817455_Walking at normal speed_29-09-2021_14-55-03
