timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,sensor_type,activity_type,activity_code,subject_id,notes,recording_id
1632923175044,-0.087646484,-0.87213135,0.5504761,0.515625,0.71875,-0.15625,Respeck,Desk work,31,s1817455,,Respeck_s1817455_Desk work_29-09-2021_14-46-50
1632923175097,-0.09057617,-0.8657837,0.55462646,0.390625,0.46875,-0.28125,Respeck,Desk work,31,s1817455,,Respeck_s1817455_Desk work_29-09-2021_14-46-50
1632923175134,-0.08496094,-0.86553955,0.55877686,0.25,0.53125,-0.71875,Respeck,Desk work,31,s1817455,,Respeck_s1817455_Desk work_29-09-2021_14-46-50
1632923175163,-0.09765625,-0.8687134,0.55633545,0.109375,0.734375,-0.6875,Respeck,Desk work,31,s1817455,,Respeck_s1817455_Desk work_29-09-2021_14-46-50
1632923175209,-0.09741211,-0.87384033,0.5553589,0.3125,0.71875,-1.109375,Respeck,Desk work,31,s1817455,,Respeck_s1817455_Desk work_29-09-2021_14-46-50
1632923175255,-0.09667969,-0.86602783,0.5548706,0.46875,0.90625,-1.015625,Respeck,Desk work,31,s1817455,,Respeck_s1817455_Desk work_29-09-2021_14-46-50
1632923175283,-0.09667969,-0.86016846,0.57977295,1.09375,0.015625,-1.015625,Respeck,Desk work,31,s1817455,,Respeck_s1817455_Desk work_29-09-2021_14-46-50
1632923175329,-0.08325195,-0.8616333,0.5790405,1.765625,0.015625,-0.453125,Respeck,Desk work,31,s1817455,,Respeck_s1817455_Desk work_29-09-2021_14-46-50
1632923175359,-0.0859375,-0.86383057,0.55218506,1.75,0.140625,-0.609375,Respeck,Desk work,31,s1817455,,Respeck_s1817455_Desk work_29-09-2021_14-46-50
1632923175406,-0.0871582,-0.8657837,0.5565796,-1.0625,-0.5,-1.78125,Respeck,Desk work,31,s1817455,,Respeck_s1817455_Desk work_29-09-2021_14-46-50
1632923175448,-0.095458984,-0.8731079,0.5409546,-1.109375,-0.9375,-3.296875,Respeck,Desk work,31,s1817455,,Respeck_s1817455_Desk work_29-09-2021_14-46-50
