timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,sensor_type,activity_type,activity_code,subject_id,notes,recording_id
1632922794902,-0.7145996,-0.113342285,-0.6362915,1.59375,-0.125,0.640625,Respeck,Lying down right,6,s1817455,,Respeck_s1817455_Lying down right_29-09-2021_14-40-25
1632922794945,-0.71850586,-0.11456299,-0.66192627,0.203125,1.515625,0.25,Respeck,Lying down right,6,s1817455,,Respeck_s1817455_Lying down right_29-09-2021_14-40-25
1632922795005,-0.7163086,-0.11798096,-0.65289307,0.34375,1.046875,-0.1875,Respeck,Lying down right,6,s1817455,,Respeck_s1817455_Lying down right_29-09-2021_14-40-25
1632922795021,-0.717041,-0.1116333,-0.6519165,0.734375,0.765625,0.453125,Respeck,Lying down right,6,s1817455,,Respeck_s1817455_Lying down right_29-09-2021_14-40-25
1632922795063,-0.72436523,-0.11407471,-0.6526489,1.015625,0.921875,0.328125,Respeck,Lying down right,6,s1817455,,Respeck_s1817455_Lying down right_29-09-2021_14-40-25
1632922795114,-0.7167969,-0.11383057,-0.6482544,0.90625,0.359375,-0.046875,Respeck,Lying down right,6,s1817455,,Respeck_s1817455_Lying down right_29-09-2021_14-40-25
1632922795140,-0.71899414,-0.117004395,-0.65338135,0.875,0.515625,0.09375,Respeck,Lying down right,6,s1817455,,Respeck_s1817455_Lying down right_29-09-2021_14-40-25
1632922795186,-0.73046875,-0.1104126,-0.64556885,0.5625,1.09375,0.140625,Respeck,Lying down right,6,s1817455,,Respeck_s1817455_Lying down right_29-09-2021_14-40-25
1632922795215,-0.72558594,-0.11505127,-0.6560669,-0.21875,0.59375,-0.390625,Respeck,Lying down right,6,s1817455,,Respeck_s1817455_Lying down right_29-09-2021_14-40-25
1632922795276,-0.7248535,-0.11187744,-0.65704346,-0.5,0.5625,-0.078125,Respeck,Lying down right,6,s1817455,,Respeck_s1817455_Lying down right_29-09-2021_14-40-25
1632922795304,-0.7216797,-0.11480713,-0.6477661,0.578125,0.015625,0.0,Respeck,Lying down right,6,s1817455,,Respeck_s1817455_Lying down right_29-09-2021_14-40-25
1632922795334,-0.71484375,-0.11065674,-0.6489868,0.296875,0.40625,-0.046875,Respeck,Lying down right,6,s1817455,,Respeck_s1817455_Lying down right_29-09-2021_14-40-25
1632922795379,-0.7233887,-0.10723877,-0.65704346,0.03125,1.25,-0.4375,Respeck,Lying down right,6,s1817455,,Respeck_s1817455_Lying down right_29-09-2021_14-40-25
1632922795425,-0.7138672,-0.11529541,-0.6428833,-0.046875,0.046875,-0.703125,Respeck,Lying down right,6,s1817455,,Respeck_s1817455_Lying down right_29-09-2021_14-40-25
1632922795458,-0.72558594,-0.10723877,-0.65289307,-0.203125,0.875,-0.1875,Respeck,Lying down right,6,s1817455,,Respeck_s1817455_Lying down right_29-09-2021_14-40-25
