timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,sensor_type,activity_type,activity_code,subject_id,notes,recording_id
1632921728632,-0.53686523,-0.28302002,0.88616943,-0.359375,1.34375,-0.5625,Respeck,Sitting bent forward,4,s1817455,,Respeck_s1817455_Sitting bent forward_29-09-2021_14-22-39
1632921728711,-0.5427246,-0.27886963,0.8851929,-0.53125,0.96875,-0.796875,Respeck,Sitting bent forward,4,s1817455,,Respeck_s1817455_Sitting bent forward_29-09-2021_14-22-39
1632921728724,-0.5385742,-0.27618408,0.8851929,0.125,1.078125,-0.546875,Respeck,Sitting bent forward,4,s1817455,,Respeck_s1817455_Sitting bent forward_29-09-2021_14-22-39
1632921728756,-0.5437012,-0.27398682,0.8986206,-0.921875,1.09375,-0.90625,Respeck,Sitting bent forward,4,s1817455,,Respeck_s1817455_Sitting bent forward_29-09-2021_14-22-39
1632921728829,-0.54125977,-0.27886963,0.88446045,-0.53125,1.328125,-0.46875,Respeck,Sitting bent forward,4,s1817455,,Respeck_s1817455_Sitting bent forward_29-09-2021_14-22-39
1632921728844,-0.53515625,-0.28448486,0.8851929,-0.453125,1.421875,-0.640625,Respeck,Sitting bent forward,4,s1817455,,Respeck_s1817455_Sitting bent forward_29-09-2021_14-22-39
1632921728888,-0.5378418,-0.2781372,0.8942261,0.125,1.328125,-0.546875,Respeck,Sitting bent forward,4,s1817455,,Respeck_s1817455_Sitting bent forward_29-09-2021_14-22-39
1632921728902,-0.53808594,-0.28009033,0.8864136,0.015625,1.265625,-0.578125,Respeck,Sitting bent forward,4,s1817455,,Respeck_s1817455_Sitting bent forward_29-09-2021_14-22-39
1632921728979,-0.532959,-0.28082275,0.8883667,-0.640625,1.21875,-0.84375,Respeck,Sitting bent forward,4,s1817455,,Respeck_s1817455_Sitting bent forward_29-09-2021_14-22-39
1632921728993,-0.53686523,-0.2798462,0.89886475,-0.796875,1.265625,-0.84375,Respeck,Sitting bent forward,4,s1817455,,Respeck_s1817455_Sitting bent forward_29-09-2021_14-22-39
1632921729025,-0.5292969,-0.2852173,0.8903198,-0.609375,0.71875,-0.84375,Respeck,Sitting bent forward,4,s1817455,,Respeck_s1817455_Sitting bent forward_29-09-2021_14-22-39
1632921729102,-0.5366211,-0.2786255,0.8864136,-0.140625,0.828125,-0.578125,Respeck,Sitting bent forward,4,s1817455,,Respeck_s1817455_Sitting bent forward_29-09-2021_14-22-39
1632921729111,-0.53881836,-0.27520752,0.8895874,0.03125,1.015625,-0.625,Respeck,Sitting bent forward,4,s1817455,,Respeck_s1817455_Sitting bent forward_29-09-2021_14-22-39
1632921729141,-0.532959,-0.27642822,0.8890991,0.328125,0.375,-0.890625,Respeck,Sitting bent forward,4,s1817455,,Respeck_s1817455_Sitting bent forward_29-09-2021_14-22-39
1632921729215,-0.5336914,-0.26715088,0.8900757,0.390625,0.359375,-0.859375,Respeck,Sitting bent forward,4,s1817455,,Respeck_s1817455_Sitting bent forward_29-09-2021_14-22-39
1632921729231,-0.53271484,-0.27398682,0.89105225,0.203125,0.34375,-0.859375,Respeck,Sitting bent forward,4,s1817455,,Respeck_s1817455_Sitting bent forward_29-09-2021_14-22-39
1632921729261,-0.5341797,-0.27496338,0.89349365,-0.25,0.765625,-0.65625,Respeck,Sitting bent forward,4,s1817455,,Respeck_s1817455_Sitting bent forward_29-09-2021_14-22-39
1632921729337,-0.53149414,-0.2744751,0.89349365,-0.171875,0.640625,-0.75,Respeck,Sitting bent forward,4,s1817455,,Respeck_s1817455_Sitting bent forward_29-09-2021_14-22-39
1632921729352,-0.53808594,-0.2756958,0.89471436,-0.015625,0.375,-0.75,Respeck,Sitting bent forward,4,s1817455,,Respeck_s1817455_Sitting bent forward_29-09-2021_14-22-39
1632921729382,-0.5366211,-0.27423096,0.89520264,0.03125,0.34375,-0.65625,Respeck,Sitting bent forward,4,s1817455,,Respeck_s1817455_Sitting bent forward_29-09-2021_14-22-39
1632921729457,-0.53515625,-0.27911377,0.8961792,0.15625,0.265625,-0.765625,Respeck,Sitting bent forward,4,s1817455,,Respeck_s1817455_Sitting bent forward_29-09-2021_14-22-39
1632921729473,-0.5415039,-0.27349854,0.88323975,-0.21875,0.640625,-0.53125,Respeck,Sitting bent forward,4,s1817455,,Respeck_s1817455_Sitting bent forward_29-09-2021_14-22-39
1632921729504,-0.5385742,-0.27423096,0.8903198,-0.53125,0.875,-0.421875,Respeck,Sitting bent forward,4,s1817455,,Respeck_s1817455_Sitting bent forward_29-09-2021_14-22-39
1632921729561,-0.5383301,-0.28375244,0.89276123,-0.4375,0.75,-0.765625,Respeck,Sitting bent forward,4,s1817455,,Respeck_s1817455_Sitting bent forward_29-09-2021_14-22-39
1632921729575,-0.53564453,-0.27301025,0.90179443,0.578125,0.46875,-0.390625,Respeck,Sitting bent forward,4,s1817455,,Respeck_s1817455_Sitting bent forward_29-09-2021_14-22-39
1632921729624,-0.52978516,-0.26983643,0.89593506,0.703125,0.546875,-0.4375,Respeck,Sitting bent forward,4,s1817455,,Respeck_s1817455_Sitting bent forward_29-09-2021_14-22-39
1632921729671,-0.5307617,-0.2715454,0.89276123,0.53125,0.421875,-0.609375,Respeck,Sitting bent forward,4,s1817455,,Respeck_s1817455_Sitting bent forward_29-09-2021_14-22-39
1632921729698,-0.53686523,-0.27618408,0.88812256,-0.53125,0.734375,-0.671875,Respeck,Sitting bent forward,4,s1817455,,Respeck_s1817455_Sitting bent forward_29-09-2021_14-22-39
1632921729742,-0.53027344,-0.2769165,0.88812256,-0.46875,0.53125,-0.625,Respeck,Sitting bent forward,4,s1817455,,Respeck_s1817455_Sitting bent forward_29-09-2021_14-22-39
1632921729773,-0.54248047,-0.28033447,0.8908081,-0.09375,0.671875,-0.5625,Respeck,Sitting bent forward,4,s1817455,,Respeck_s1817455_Sitting bent forward_29-09-2021_14-22-39
1632921729816,-0.5344238,-0.2720337,0.8878784,-0.03125,0.40625,-0.546875,Respeck,Sitting bent forward,4,s1817455,,Respeck_s1817455_Sitting bent forward_29-09-2021_14-22-39
1632921729865,-0.53637695,-0.27227783,0.89715576,-0.34375,0.109375,-0.625,Respeck,Sitting bent forward,4,s1817455,,Respeck_s1817455_Sitting bent forward_29-09-2021_14-22-39
1632921729893,-0.5354004,-0.26885986,0.89178467,-0.140625,0.515625,-0.65625,Respeck,Sitting bent forward,4,s1817455,,Respeck_s1817455_Sitting bent forward_29-09-2021_14-22-39
1632921729937,-0.53125,-0.26934814,0.8944702,-0.28125,0.09375,-0.84375,Respeck,Sitting bent forward,4,s1817455,,Respeck_s1817455_Sitting bent forward_29-09-2021_14-22-39
1632921729982,-0.53759766,-0.27374268,0.89837646,-0.25,0.421875,-0.90625,Respeck,Sitting bent forward,4,s1817455,,Respeck_s1817455_Sitting bent forward_29-09-2021_14-22-39
1632921730012,-0.53808594,-0.27789307,0.8903198,-0.265625,0.0,-0.734375,Respeck,Sitting bent forward,4,s1817455,,Respeck_s1817455_Sitting bent forward_29-09-2021_14-22-39
1632921730058,-0.5422363,-0.27227783,0.8908081,0.171875,0.28125,-0.75,Respeck,Sitting bent forward,4,s1817455,,Respeck_s1817455_Sitting bent forward_29-09-2021_14-22-39
1632921730105,-0.5373535,-0.27178955,0.89471436,0.078125,0.171875,-0.640625,Respeck,Sitting bent forward,4,s1817455,,Respeck_s1817455_Sitting bent forward_29-09-2021_14-22-39
1632921730133,-0.54052734,-0.27520752,0.8930054,0.515625,0.078125,-0.71875,Respeck,Sitting bent forward,4,s1817455,,Respeck_s1817455_Sitting bent forward_29-09-2021_14-22-39
1632921730180,-0.5407715,-0.27130127,0.90179443,-0.28125,0.171875,-0.734375,Respeck,Sitting bent forward,4,s1817455,,Respeck_s1817455_Sitting bent forward_29-09-2021_14-22-39
1632921730208,-0.5336914,-0.27545166,0.8930054,-0.09375,0.484375,-0.5,Respeck,Sitting bent forward,4,s1817455,,Respeck_s1817455_Sitting bent forward_29-09-2021_14-22-39
1632921730252,-0.5371094,-0.2822876,0.89398193,0.046875,0.109375,-0.671875,Respeck,Sitting bent forward,4,s1817455,,Respeck_s1817455_Sitting bent forward_29-09-2021_14-22-39
1632921730313,-0.54785156,-0.27593994,0.8878784,0.640625,0.15625,-0.671875,Respeck,Sitting bent forward,4,s1817455,,Respeck_s1817455_Sitting bent forward_29-09-2021_14-22-39
1632921730329,-0.54052734,-0.2727661,0.8812866,0.421875,-0.03125,-0.609375,Respeck,Sitting bent forward,4,s1817455,,Respeck_s1817455_Sitting bent forward_29-09-2021_14-22-39
1632921730372,-0.5480957,-0.27252197,0.8847046,0.296875,0.265625,-0.671875,Respeck,Sitting bent forward,4,s1817455,,Respeck_s1817455_Sitting bent forward_29-09-2021_14-22-39
1632921730416,-0.5437012,-0.27545166,0.8864136,-0.234375,0.25,-0.75,Respeck,Sitting bent forward,4,s1817455,,Respeck_s1817455_Sitting bent forward_29-09-2021_14-22-39
1632921730448,-0.5415039,-0.27496338,0.8883667,-0.390625,0.046875,-0.734375,Respeck,Sitting bent forward,4,s1817455,,Respeck_s1817455_Sitting bent forward_29-09-2021_14-22-39
1632921730493,-0.5456543,-0.27618408,0.8942261,0.0625,0.21875,-0.640625,Respeck,Sitting bent forward,4,s1817455,,Respeck_s1817455_Sitting bent forward_29-09-2021_14-22-39
1632921730540,-0.53881836,-0.27374268,0.8876343,0.53125,-0.078125,-0.625,Respeck,Sitting bent forward,4,s1817455,,Respeck_s1817455_Sitting bent forward_29-09-2021_14-22-39
1632921730568,-0.54785156,-0.27764893,0.8920288,0.34375,-0.1875,-0.453125,Respeck,Sitting bent forward,4,s1817455,,Respeck_s1817455_Sitting bent forward_29-09-2021_14-22-39
1632921730615,-0.546875,-0.26837158,0.8842163,0.71875,-0.015625,-0.390625,Respeck,Sitting bent forward,4,s1817455,,Respeck_s1817455_Sitting bent forward_29-09-2021_14-22-39
1632921730645,-0.5500488,-0.27960205,0.8825073,0.421875,-0.125,-0.421875,Respeck,Sitting bent forward,4,s1817455,,Respeck_s1817455_Sitting bent forward_29-09-2021_14-22-39
1632921730688,-0.545166,-0.27642822,0.8878784,0.296875,0.046875,-0.46875,Respeck,Sitting bent forward,4,s1817455,,Respeck_s1817455_Sitting bent forward_29-09-2021_14-22-39
1632921730734,-0.54833984,-0.27789307,0.8859253,0.421875,0.125,-0.34375,Respeck,Sitting bent forward,4,s1817455,,Respeck_s1817455_Sitting bent forward_29-09-2021_14-22-39
1632921730763,-0.54956055,-0.2810669,0.88446045,0.34375,0.421875,-0.484375,Respeck,Sitting bent forward,4,s1817455,,Respeck_s1817455_Sitting bent forward_29-09-2021_14-22-39
1632921730808,-0.5437012,-0.28179932,0.8786011,0.78125,0.25,-0.5625,Respeck,Sitting bent forward,4,s1817455,,Respeck_s1817455_Sitting bent forward_29-09-2021_14-22-39
1632921730853,-0.5476074,-0.2805786,0.88812256,1.328125,-0.03125,-0.59375,Respeck,Sitting bent forward,4,s1817455,,Respeck_s1817455_Sitting bent forward_29-09-2021_14-22-39
1632921730882,-0.54248047,-0.2786255,0.8866577,1.71875,-0.296875,-0.765625,Respeck,Sitting bent forward,4,s1817455,,Respeck_s1817455_Sitting bent forward_29-09-2021_14-22-39
1632921730929,-0.5427246,-0.2720337,0.8727417,0.953125,-0.40625,-0.828125,Respeck,Sitting bent forward,4,s1817455,,Respeck_s1817455_Sitting bent forward_29-09-2021_14-22-39
1632921730987,-0.5551758,-0.286438,0.88494873,0.53125,0.421875,-0.890625,Respeck,Sitting bent forward,4,s1817455,,Respeck_s1817455_Sitting bent forward_29-09-2021_14-22-39
1632921731001,-0.5529785,-0.29034424,0.8751831,0.75,-0.125,-0.734375,Respeck,Sitting bent forward,4,s1817455,,Respeck_s1817455_Sitting bent forward_29-09-2021_14-22-39
1632921731063,-0.5527344,-0.29107666,0.8739624,0.703125,-0.03125,-0.546875,Respeck,Sitting bent forward,4,s1817455,,Respeck_s1817455_Sitting bent forward_29-09-2021_14-22-39
1632921731078,-0.55493164,-0.2888794,0.8759155,1.234375,0.234375,-0.4375,Respeck,Sitting bent forward,4,s1817455,,Respeck_s1817455_Sitting bent forward_29-09-2021_14-22-39
1632921731121,-0.5510254,-0.2888794,0.8744507,0.984375,0.1875,-0.78125,Respeck,Sitting bent forward,4,s1817455,,Respeck_s1817455_Sitting bent forward_29-09-2021_14-22-39
1632921731169,-0.55493164,-0.2859497,0.87249756,0.25,0.34375,-0.78125,Respeck,Sitting bent forward,4,s1817455,,Respeck_s1817455_Sitting bent forward_29-09-2021_14-22-39
1632921731200,-0.5517578,-0.2852173,0.87713623,0.046875,0.421875,-0.59375,Respeck,Sitting bent forward,4,s1817455,,Respeck_s1817455_Sitting bent forward_29-09-2021_14-22-39
1632921731243,-0.55493164,-0.28692627,0.8764038,0.03125,0.5625,-0.59375,Respeck,Sitting bent forward,4,s1817455,,Respeck_s1817455_Sitting bent forward_29-09-2021_14-22-39
1632921731287,-0.5500488,-0.29229736,0.8695679,0.234375,0.40625,-0.546875,Respeck,Sitting bent forward,4,s1817455,,Respeck_s1817455_Sitting bent forward_29-09-2021_14-22-39
1632921731317,-0.5551758,-0.29107666,0.87493896,0.140625,0.28125,-0.640625,Respeck,Sitting bent forward,4,s1817455,,Respeck_s1817455_Sitting bent forward_29-09-2021_14-22-39
1632921731362,-0.5546875,-0.2949829,0.87713623,0.515625,0.109375,-0.828125,Respeck,Sitting bent forward,4,s1817455,,Respeck_s1817455_Sitting bent forward_29-09-2021_14-22-39
