timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,sensor_type,activity_type,activity_code,subject_id,notes,recording_id
1632921771148,-0.7753906,0.5683594,-0.34765625,-0.21875,1.0,-0.59375,0.0,0.0,0.0,Thingy,Sitting bent forward,4,s1817455,,Thingy_s1817455_Sitting bent forward_29-09-2021_14-23-21
1632921771210,-0.78027344,0.5595703,-0.33398438,-0.15625,1.0625,-0.53125,0.0,0.0,0.0,Thingy,Sitting bent forward,4,s1817455,,Thingy_s1817455_Sitting bent forward_29-09-2021_14-23-21
1632921771239,-0.7763672,0.56152344,-0.3466797,-0.15625,1.0625,-0.34375,-53.25,15.625,-66.1875,Thingy,Sitting bent forward,4,s1817455,,Thingy_s1817455_Sitting bent forward_29-09-2021_14-23-21
1632921771277,-0.7734375,0.5605469,-0.3544922,-0.34375,1.15625,-0.21875,0.0,0.0,0.0,Thingy,Sitting bent forward,4,s1817455,,Thingy_s1817455_Sitting bent forward_29-09-2021_14-23-21
1632921771330,-0.77246094,0.56347656,-0.34277344,-0.28125,1.53125,-0.28125,0.0,0.0,0.0,Thingy,Sitting bent forward,4,s1817455,,Thingy_s1817455_Sitting bent forward_29-09-2021_14-23-21
1632921771358,-0.7714844,0.5595703,-0.33789062,-0.34375,1.40625,-0.21875,0.0,0.0,0.0,Thingy,Sitting bent forward,4,s1817455,,Thingy_s1817455_Sitting bent forward_29-09-2021_14-23-21
1632921771388,-0.77441406,0.5566406,-0.34277344,-0.5,1.53125,-0.34375,0.0,0.0,0.0,Thingy,Sitting bent forward,4,s1817455,,Thingy_s1817455_Sitting bent forward_29-09-2021_14-23-21
1632921771479,-0.78027344,0.5595703,-0.34375,-0.46875,1.34375,-0.75,0.0,0.0,0.0,Thingy,Sitting bent forward,4,s1817455,,Thingy_s1817455_Sitting bent forward_29-09-2021_14-23-21
1632921771483,-0.76953125,0.5625,-0.3408203,-0.46875,1.34375,-0.6875,0.0,0.0,0.0,Thingy,Sitting bent forward,4,s1817455,,Thingy_s1817455_Sitting bent forward_29-09-2021_14-23-21
1632921771514,-0.77734375,0.5605469,-0.35058594,-0.34375,1.46875,-0.40625,0.0,0.0,0.0,Thingy,Sitting bent forward,4,s1817455,,Thingy_s1817455_Sitting bent forward_29-09-2021_14-23-21
1632921771572,-0.7714844,0.5595703,-0.35742188,-0.5,1.53125,-0.34375,0.0,0.0,0.0,Thingy,Sitting bent forward,4,s1817455,,Thingy_s1817455_Sitting bent forward_29-09-2021_14-23-21
1632921771598,-0.77246094,0.5576172,-0.3544922,-0.5,1.21875,0.09375,0.0,0.0,0.0,Thingy,Sitting bent forward,4,s1817455,,Thingy_s1817455_Sitting bent forward_29-09-2021_14-23-21
1632921771628,-0.76953125,0.55078125,-0.34570312,-0.5,1.21875,0.15625,0.0,0.0,0.0,Thingy,Sitting bent forward,4,s1817455,,Thingy_s1817455_Sitting bent forward_29-09-2021_14-23-21
1632921771688,-0.78222656,0.5644531,-0.3564453,-0.6875,1.21875,-0.09375,0.0,0.0,0.0,Thingy,Sitting bent forward,4,s1817455,,Thingy_s1817455_Sitting bent forward_29-09-2021_14-23-21
1632921771720,-0.77441406,0.5654297,-0.34960938,-0.5625,1.15625,-0.21875,0.0,0.0,0.0,Thingy,Sitting bent forward,4,s1817455,,Thingy_s1817455_Sitting bent forward_29-09-2021_14-23-21
1632921771748,-0.7783203,0.5517578,-0.34960938,-0.625,1.90625,-0.21875,-53.25,15.625,-64.875,Thingy,Sitting bent forward,4,s1817455,,Thingy_s1817455_Sitting bent forward_29-09-2021_14-23-21
