,timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,ind
0,1695772210248,-0.50146484,0.12689209,0.9828491,-4.296875,-17.671875,2.015625,0
1,1695772210288,-0.43359375,0.1149292,0.9850464,-2.890625,6.453125,-1.84375,1
2,1695772210328,-0.39233398,0.097839355,0.99871826,1.46875,7.375,0.359375,2
3,1695772210368,-0.42382812,0.05609131,1.0097046,-5.921875,-0.15625,-0.671875,3
4,1695772210408,-0.4675293,0.0446167,0.96868896,-7.75,7.296875,-1.578125,4
5,1695772210448,-0.43945312,0.08050537,1.0031128,-7.703125,7.75,-2.140625,5
6,1695772210488,-0.45141602,0.116882324,1.0348511,-2.703125,6.109375,-0.875,6
7,1695772210528,-0.41137695,0.14520264,1.0062866,0.984375,0.59375,-0.171875,7
8,1695772210568,-0.4099121,0.16668701,0.9647827,1.515625,1.09375,-0.09375,8
9,1695772210608,-0.41235352,0.15228271,0.9994507,0.703125,3.078125,-0.234375,9
10,1695772210648,-0.40795898,0.11395264,1.0031128,2.21875,2.625,0.125,10
11,1695772210688,-0.4050293,0.09466553,0.9916382,2.890625,0.0,0.71875,11
12,1695772210728,-0.42651367,0.08734131,1.010437,11.15625,-2.640625,0.671875,12
13,1695772210768,-0.41455078,0.06561279,1.0101929,3.203125,-10.21875,0.59375,13
14,1695772210808,-0.48364258,0.101257324,1.0114136,-0.484375,-18.5625,1.359375,14
15,1695772210848,-0.44702148,0.11541748,0.9645386,-8.71875,-6.3125,-1.75,15
16,1695772210888,-0.39672852,0.13690186,1.057312,3.234375,10.140625,0.59375,16
17,1695772210928,-0.43676758,0.09588623,0.99139404,-9.015625,-3.046875,1.296875,17
18,1695772210968,-0.46044922,0.08148193,0.97332764,-13.375,4.140625,-2.109375,18
19,1695772211008,-0.45922852,0.07537842,0.9760132,-4.28125,7.5,-1.296875,19
20,1695772211048,-0.4494629,0.07562256,1.0097046,-5.40625,5.46875,-2.28125,20
21,1695772211088,-0.4182129,0.11663818,1.0214233,-1.171875,3.90625,-2.125,21
22,1695772211128,-0.42578125,0.14422607,1.0014038,4.53125,1.09375,-0.296875,22
23,1695772211168,-0.44360352,0.17352295,1.0001831,0.625,1.59375,-0.125,23
24,1695772211208,-0.43481445,0.16326904,0.97283936,0.359375,4.078125,-1.09375,24
25,1695772211248,-0.3996582,0.12445068,0.9940796,7.109375,6.546875,0.015625,25
26,1695772211288,-0.4038086,0.08929443,1.0001831,7.578125,4.421875,1.46875,26
27,1695772211328,-0.38134766,0.074401855,1.0097046,5.8125,2.359375,1.140625,27
28,1695772211368,-0.4255371,0.09075928,1.0280151,4.359375,-8.921875,0.5625,28
29,1695772211408,-0.42456055,0.026794434,0.99432373,3.125,-20.09375,1.21875,29
30,1695772211448,-0.49023438,0.17034912,0.96014404,-21.953125,-19.984375,-1.0,30
31,1695772211488,-0.4230957,0.14886475,0.994812,3.359375,14.5625,-3.78125,31
32,1695772211528,-0.37768555,0.116882324,1.0724487,6.25,13.125,1.171875,32
33,1695772211568,-0.44433594,0.04876709,0.9696655,-2.0,-3.921875,2.046875,33
34,1695772211608,-0.43847656,0.029724121,0.9750366,-7.53125,3.96875,-1.84375,34
35,1695772211648,-0.46289062,0.07220459,1.0272827,-8.984375,4.65625,-3.921875,35
36,1695772211688,-0.43066406,0.11639404,1.0299683,-3.609375,5.078125,-2.078125,36
37,1695772211728,-0.39990234,0.13031006,0.9957886,3.625,1.328125,0.140625,37
38,1695772211768,-0.41015625,0.17010498,0.9904175,2.859375,0.03125,0.765625,38
39,1695772211808,-0.42163086,0.14935303,0.96502686,0.78125,3.359375,0.515625,39
40,1695772211848,-0.38354492,0.11151123,0.9796753,6.625,4.53125,0.640625,40
41,1695772211888,-0.40527344,0.0692749,1.0255737,7.515625,0.671875,1.171875,41
42,1695772211928,-0.42138672,0.039489746,1.0436401,7.375,-5.75,0.9375,42
43,1695772211968,-0.46069336,0.034606934,0.9164429,1.1875,-22.609375,1.359375,43
44,1695772212008,-0.45288086,0.15350342,1.0067749,-7.5625,-10.671875,-0.015625,44
45,1695772212048,-0.40283203,0.10809326,0.9906616,6.859375,6.90625,-0.78125,45
46,1695772212088,-0.43798828,0.08929443,1.0390015,3.3125,6.875,1.1875,46
47,1695772212128,-0.43920898,0.03314209,0.9916382,-3.1875,2.71875,-1.03125,47
48,1695772212168,-0.41381836,0.02947998,0.94329834,-6.546875,6.796875,-0.59375,48
49,1695772212208,-0.4621582,0.054626465,1.0299683,-7.15625,5.03125,-1.203125,49
50,1695772212248,-0.44921875,0.086120605,1.0167847,-5.40625,6.984375,-1.953125,50
51,1695772212288,-0.39916992,0.120788574,1.0326538,1.734375,6.921875,-1.109375,51
52,1695772212328,-0.40429688,0.12957764,0.9994507,-0.296875,0.671875,-0.515625,52
53,1695772212368,-0.4013672,0.12713623,0.98895264,-1.390625,1.109375,-0.40625,53
54,1695772212408,-0.3959961,0.093688965,0.99139404,3.015625,3.125,0.390625,54
55,1695772212448,-0.39868164,0.07098389,1.008728,6.21875,4.03125,0.640625,55
56,1695772212488,-0.40283203,0.061950684,1.0541382,9.453125,-1.625,0.609375,56
57,1695772212528,-0.41381836,0.022399902,0.98480225,5.296875,-15.15625,0.59375,57
58,1695772212568,-0.43286133,0.050476074,1.0097046,-2.703125,-17.125,0.234375,58
59,1695772212608,-0.4819336,0.12176514,0.92645264,-12.875,-17.828125,-1.125,59
60,1695772212648,-0.4206543,0.121520996,1.0238647,3.390625,14.0,-1.828125,60
