,timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,ind
0,1695773324436,-1.095459,-0.07232666,0.051452637,3.125,2.625,2.984375,0
1,1695773324476,-1.0407715,-0.09625244,-0.04815674,4.484375,-4.484375,2.46875,1
2,1695773324516,-0.9758301,-0.07745361,-0.014221191,7.0,4.890625,0.21875,2
3,1695773324556,-1.0537109,-0.13531494,0.11199951,4.1875,6.171875,-1.546875,3
4,1695773324596,-1.0891113,-0.06573486,-0.14801025,2.40625,1.21875,0.015625,4
5,1695773324636,-0.97265625,-0.05255127,0.09564209,5.28125,4.390625,4.890625,5
6,1695773324676,-1.0976562,-0.1428833,0.08392334,3.375,-1.59375,-1.703125,6
7,1695773324716,-1.0134277,-0.053527832,-0.13775635,5.375,1.53125,0.359375,7
8,1695773324756,-1.027832,-0.13848877,0.19671631,1.578125,-2.3125,2.09375,8
9,1695773324796,-1.0666504,-0.11895752,-0.0095825195,-3.4375,0.515625,-1.03125,9
10,1695773324836,-0.9812012,-0.11627197,0.026062012,-18.046875,-6.234375,-6.390625,10
11,1695773324876,-1.0195312,-0.07354736,0.0680542,-25.921875,-5.03125,-5.625,11
12,1695773324916,-1.1496582,-0.0635376,0.035095215,-22.90625,-21.109375,-2.078125,12
13,1695773324956,-1.0598145,-0.18780518,-0.028625488,0.15625,4.09375,-0.859375,13
14,1695773324996,-0.89038086,-0.06744385,-0.08795166,0.703125,2.734375,2.921875,14
15,1695773325036,-1.1208496,-0.031799316,-0.033996582,-9.25,-2.84375,-4.546875,15
16,1695773325076,-1.1225586,-0.020080566,-0.09893799,4.71875,-2.921875,-1.78125,16
17,1695773325116,-0.96362305,-0.11773682,-0.06011963,24.5,6.421875,-0.390625,17
18,1695773325156,-0.91259766,-0.22467041,0.08026123,17.34375,12.71875,-0.390625,18
19,1695773325196,-1.1069336,0.06048584,0.051940918,-1.125,4.390625,5.703125,19
20,1695773325236,-1.0380859,-0.14703369,0.026306152,0.765625,-2.046875,0.65625,20
21,1695773325276,-1.0134277,-0.06817627,-0.009338379,-9.484375,-5.15625,-2.34375,21
22,1695773325316,-1.0644531,-0.019592285,-0.02154541,-2.40625,-3.953125,-0.796875,22
23,1695773325356,-1.0488281,-0.16461182,0.06121826,0.015625,5.625,4.828125,23
24,1695773325396,-1.072998,-0.028625488,-0.23712158,2.015625,-3.59375,-3.03125,24
25,1695773325436,-0.97314453,-0.07550049,0.09613037,4.34375,5.828125,-6.90625,25
26,1695773325476,-1.1149902,-0.12506104,0.101257324,-2.03125,-0.484375,2.453125,26
27,1695773325516,-1.0664062,-0.013000488,-0.21783447,1.515625,-4.359375,-2.078125,27
28,1695773325556,-0.93896484,-0.112854004,0.1642456,5.40625,6.34375,-2.234375,28
29,1695773325596,-1.1303711,-0.11627197,0.01727295,-3.59375,2.09375,-0.53125,29
30,1695773325636,-1.0263672,-0.050598145,-0.019348145,-13.34375,-8.671875,-3.375,30
31,1695773325676,-0.9741211,-0.08917236,0.098083496,-15.828125,-2.734375,-1.21875,31
32,1695773325716,-1.1066895,-0.07940674,-0.066223145,-21.5625,-15.609375,1.265625,32
33,1695773325756,-1.0925293,-0.04473877,-0.11993408,-11.015625,-9.96875,2.640625,33
34,1695773325796,-0.9851074,-0.08380127,-0.09136963,10.90625,12.046875,-3.21875,34
35,1695773325836,-1.067627,-0.05230713,-0.11871338,33.21875,10.6875,-5.171875,35
36,1695773325876,-0.94628906,-0.26690674,-0.09039307,29.4375,8.0,2.3125,36
37,1695773325916,-0.9602051,-0.012023926,0.120788574,16.40625,-7.75,18.65625,37
38,1695773325956,-1.2504883,0.06854248,0.14593506,-2.109375,-6.921875,-2.890625,38
39,1695773325996,-0.8574219,-0.034973145,-0.066711426,10.390625,11.984375,-7.609375,39
40,1695773326036,-1.1552734,-0.18560791,-0.016662598,-3.96875,-9.34375,-0.484375,40
41,1695773326076,-0.93115234,-0.13677979,-0.19024658,12.75,0.40625,-1.84375,41
42,1695773326116,-1.1828613,-0.09625244,0.3156128,-10.09375,7.984375,3.671875,42
43,1695773326156,-0.9890137,0.0524292,-0.25543213,-1.8125,0.734375,-0.984375,43
44,1695773326196,-1.0537109,-0.10235596,0.047058105,-1.28125,-0.5,-3.625,44
45,1695773326236,-0.9345703,-0.20758057,-0.12872314,-1.5,1.5625,4.0,45
46,1695773326276,-1.1713867,-0.042297363,0.06414795,-14.78125,1.734375,-2.5,46
47,1695773326316,-1.0883789,-0.066223145,-0.0020141602,-0.65625,4.34375,-3.25,47
48,1695773326356,-0.94262695,-0.12774658,0.1317749,1.375,10.046875,10.421875,48
49,1695773326396,-1.0187988,-0.0256958,-0.2234497,-7.859375,-8.40625,8.609375,49
50,1695773326436,-1.0561523,-0.09893799,0.04486084,-2.78125,7.328125,-2.390625,50
51,1695773326476,-1.0981445,-0.08013916,-0.08062744,8.140625,4.921875,-2.171875,51
52,1695773326516,-0.9589844,-0.19610596,-0.3147583,10.828125,-4.546875,2.0625,52
53,1695773326556,-0.91137695,-0.09503174,0.3546753,3.953125,-17.5,6.78125,53
54,1695773326596,-1.276123,0.12005615,-0.0647583,5.796875,12.75,-6.4375,54
55,1695773326636,-0.9147949,-0.21588135,-0.018859863,-1.59375,7.515625,-4.0,55
56,1695773326676,-0.92456055,-0.061828613,-0.22564697,5.96875,-0.46875,-4.515625,56
57,1695773326716,-1.0095215,-0.27349854,0.003112793,1.03125,-34.3125,-7.359375,57
58,1695773326756,-1.2407227,-0.054016113,0.26849365,-9.609375,31.34375,3.0625,58
59,1695773326796,-0.9824219,0.15350342,-0.29156494,3.421875,4.75,-2.15625,59
60,1695773326836,-0.97265625,-0.18658447,0.27947998,-6.515625,-13.375,-1.875,60
61,1695773326876,-0.95288086,-0.17803955,-0.42462158,7.984375,-3.484375,-0.671875,61
62,1695773326916,-1.0222168,-0.13873291,0.3053589,-15.140625,-15.171875,4.671875,62
63,1695773326956,-1.1340332,0.03729248,-0.18634033,0.828125,7.890625,1.921875,63
64,1695773326996,-0.9953613,-0.11187744,0.023376465,-4.890625,3.96875,5.5625,64
65,1695773327036,-0.97216797,-0.105041504,0.003112793,-1.296875,-12.046875,2.5625,65
66,1695773327076,-0.97631836,-0.2144165,-0.27349854,-2.546875,-4.40625,-0.390625,66
67,1695773327116,-1.161377,-0.06842041,-0.035461426,-3.546875,20.03125,-5.546875,67
68,1695773327156,-1.0163574,-0.046936035,0.057800293,-6.5,0.46875,2.25,68
69,1695773327196,-1.0895996,-0.06109619,-0.08355713,5.046875,-5.703125,1.84375,69
70,1695773327236,-0.85913086,-0.20587158,0.10858154,-8.3125,-1.46875,2.515625,70
71,1695773327276,-1.0969238,-0.06817627,-0.13604736,-23.4375,-24.0,-2.65625,71
72,1695773327316,-1.0930176,-0.1519165,-0.06744385,-5.8125,2.40625,3.875,72
73,1695773327356,-0.9211426,-0.06549072,-0.089416504,3.453125,15.140625,6.484375,73
74,1695773327396,-1.0983887,-0.1194458,-0.057678223,1.84375,0.9375,-1.5,74
75,1695773327436,-1.0012207,-0.15509033,-0.0335083,0.40625,-2.640625,0.078125,75
76,1695773327476,-1.0324707,-0.14630127,-0.082336426,-9.671875,-10.515625,0.015625,76
77,1695773327516,-1.0578613,-0.14019775,-0.065979004,-18.34375,-5.46875,-3.40625,77
78,1695773327556,-1.0942383,-0.09918213,-0.078430176,-14.796875,-11.640625,0.6875,78
79,1695773327596,-1.0837402,-0.097229004,-0.13043213,-2.390625,-8.640625,6.140625,79
80,1695773327636,-0.85913086,-0.10821533,-0.09869385,11.90625,9.453125,7.890625,80
81,1695773327676,-0.9719238,-0.1651001,-0.070129395,14.296875,17.6875,-0.921875,81
82,1695773327716,-1.0686035,-0.13995361,-0.09039307,7.390625,6.75,-3.46875,82
83,1695773327756,-1.0695801,-0.11553955,-0.08087158,4.25,6.890625,5.71875,83
84,1695773327796,-0.9777832,-0.15216064,-0.06036377,6.78125,12.875,-1.453125,84
85,1695773327836,-1.0405273,-0.14727783,-0.04449463,4.25,7.109375,-2.78125,85
86,1695773327876,-1.0612793,-0.11065674,-0.05645752,7.203125,3.390625,1.21875,86
87,1695773327916,-0.9916992,-0.16143799,-0.32354736,11.8125,7.984375,-0.03125,87
88,1695773327956,-0.8798828,-0.11407471,0.07147217,21.078125,-34.53125,-0.140625,88
89,1695773327996,-1.4343262,-0.14849854,0.36029053,-7.796875,-10.25,-5.46875,89
90,1695773328036,-0.8417969,0.016052246,-0.20733643,13.984375,28.625,2.953125,90
91,1695773328076,-1.0268555,-0.17218018,0.042419434,-15.46875,-8.46875,-2.90625,91
92,1695773328116,-0.9082031,-0.17877197,-0.21051025,8.78125,-0.0625,-6.265625,92
93,1695773328156,-0.9250488,-0.14874268,0.030212402,-2.046875,-14.578125,5.34375,93
94,1695773328196,-1.1867676,-0.06695557,-0.010070801,-7.28125,17.25,4.265625,94
95,1695773328236,-1.0825195,-0.10211182,-0.1807251,6.28125,13.78125,1.484375,95
