,timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,ind
0,1695741579938,-0.76782227,-0.12628174,-0.61602783,0.53125,-0.484375,-0.734375,0
1,1695741579978,-0.7648926,-0.12677002,-0.61383057,-0.203125,-0.359375,-0.78125,1
2,1695741580018,-0.7663574,-0.13336182,-0.61383057,-0.921875,-0.6875,-0.6875,2
3,1695741580058,-0.76171875,-0.12506104,-0.60235596,-1.0625,0.921875,-0.5625,3
4,1695741580098,-0.7727051,-0.13238525,-0.62823486,-0.796875,-0.671875,-0.421875,4
5,1695741580138,-0.7626953,-0.12432861,-0.61798096,0.0625,-1.234375,-1.078125,5
6,1695741580178,-0.7661133,-0.12628174,-0.6133423,-1.1875,1.140625,-0.421875,6
7,1695741580218,-0.77441406,-0.13287354,-0.61724854,-1.84375,-0.1875,-0.578125,7
8,1695741580258,-0.7661133,-0.12750244,-0.61968994,-1.25,-1.765625,-0.8125,8
9,1695741580298,-0.7709961,-0.1260376,-0.6255493,-0.859375,-0.1875,-1.640625,9
10,1695741580338,-0.76220703,-0.13214111,-0.62091064,-0.71875,-0.90625,-1.234375,10
11,1695741580378,-0.7561035,-0.13092041,-0.6187134,-1.234375,-0.078125,-0.984375,11
12,1695741580418,-0.76953125,-0.12823486,-0.6213989,-0.734375,-1.03125,-0.875,12
13,1695741580458,-0.765625,-0.12823486,-0.6152954,-0.953125,0.40625,-1.25,13
14,1695741580498,-0.75756836,-0.128479,-0.628479,-1.734375,-1.46875,-0.765625,14
15,1695741580538,-0.7619629,-0.12237549,-0.6201782,-0.953125,-0.640625,-1.03125,15
16,1695741580578,-0.75683594,-0.12799072,-0.62628174,-0.921875,-0.453125,-1.234375,16
17,1695741580618,-0.75756836,-0.12359619,-0.6165161,-1.578125,-0.03125,-0.765625,17
18,1695741580658,-0.7541504,-0.12237549,-0.6187134,-1.390625,-0.453125,-0.71875,18
19,1695741580698,-0.76171875,-0.12945557,-0.6292114,-1.6875,-0.71875,-0.953125,19
20,1695741580738,-0.7519531,-0.12530518,-0.6279907,-0.25,-0.421875,-0.984375,20
21,1695741580778,-0.7504883,-0.13214111,-0.6223755,-1.046875,0.5625,-0.765625,21
22,1695741580818,-0.767334,-0.1326294,-0.62164307,-1.625,-0.515625,-1.0625,22
23,1695741580858,-0.75390625,-0.12310791,-0.6304321,-0.953125,-1.40625,-1.171875,23
24,1695741580898,-0.7614746,-0.11846924,-0.64019775,-1.328125,0.28125,-1.171875,24
