,timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,ind
0,1695772971639,-0.98291016,-0.1494751,-0.0256958,-2.390625,4.1875,-1.1875,0
1,1695772971679,-1.0080566,-0.16241455,-0.05206299,-2.40625,2.796875,-1.0,1
2,1695772971719,-1.0710449,-0.16558838,-0.07159424,3.265625,-0.671875,2.71875,2
3,1695772971759,-1.0004883,-0.17218018,-0.058654785,3.453125,-4.890625,1.609375,3
4,1695772971799,-1.005127,-0.16583252,-0.06768799,-0.8125,0.234375,-1.953125,4
5,1695772971839,-1.020752,-0.16778564,-0.022766113,1.34375,3.21875,1.046875,5
6,1695772971879,-1.0200195,-0.16851807,-0.0869751,-2.6875,-3.390625,0.21875,6
7,1695772971919,-1.052002,-0.16973877,-0.08282471,-1.75,-1.3125,0.703125,7
8,1695772971959,-0.9963379,-0.15289307,-0.011779785,2.5625,0.734375,0.265625,8
9,1695772971999,-1.0224609,-0.18609619,-0.09820557,-1.921875,3.09375,-0.28125,9
10,1695772972039,-1.0419922,-0.15557861,-0.046691895,1.984375,1.625,0.109375,10
11,1695772972079,-1.0100098,-0.16607666,-0.090148926,-0.84375,-0.484375,0.296875,11
12,1695772972119,-1.005127,-0.17437744,-0.04522705,3.046875,2.28125,-0.65625,12
13,1695772972159,-1.0068359,-0.20831299,-0.086242676,3.296875,2.28125,1.484375,13
14,1695772972199,-1.0351562,-0.14971924,-0.06817627,-2.75,-2.4375,1.125,14
15,1695772972239,-1.0263672,-0.18414307,-0.050842285,0.953125,7.625,-0.3125,15
16,1695772972279,-0.9970703,-0.17779541,-0.06719971,-0.65625,1.890625,0.328125,16
17,1695772972319,-1.0334473,-0.17559814,-0.07305908,-3.9375,1.265625,1.3125,17
18,1695772972359,-1.0710449,-0.17047119,-0.06915283,-0.71875,1.375,1.9375,18
19,1695772972399,-1.005127,-0.18292236,-0.014221191,-0.75,8.3125,1.484375,19
20,1695772972439,-1.0571289,-0.17779541,-0.028625488,2.65625,7.84375,0.96875,20
21,1695772972479,-0.97631836,-0.20391846,-0.058654785,2.421875,4.265625,1.296875,21
22,1695772972519,-0.9875488,-0.18756104,0.013366699,-1.015625,1.46875,-2.109375,22
23,1695772972559,-1.0,-0.1873169,0.010681152,-2.328125,1.4375,-0.484375,23
24,1695772972599,-1.0012207,-0.14874268,0.038024902,1.53125,1.390625,-2.265625,24
25,1695772972639,-1.0219727,-0.19659424,-0.04107666,-1.78125,0.03125,-1.40625,25
26,1695772972679,-1.0722656,-0.144104,0.011657715,-0.96875,-5.203125,2.8125,26
27,1695772972719,-0.986084,-0.1897583,-0.03741455,-0.234375,2.953125,0.421875,27
28,1695772972759,-0.99853516,-0.1951294,-0.027648926,-4.125,1.125,-0.59375,28
29,1695772972799,-1.0009766,-0.18292236,-0.00982666,-1.015625,2.015625,-2.5625,29
30,1695772972839,-1.0310059,-0.17755127,-0.014953613,-1.109375,-4.171875,0.34375,30
31,1695772972879,-1.0219727,-0.16827393,-0.027893066,-3.671875,-0.796875,0.703125,31
32,1695772972919,-1.0437012,-0.18170166,-0.014221191,-1.640625,-1.0,0.453125,32
33,1695772972959,-1.0229492,-0.18023682,-0.004211426,0.1875,-1.4375,1.203125,33
34,1695772972999,-1.0212402,-0.19976807,-0.04522705,-3.625,-1.546875,0.890625,34
35,1695772973039,-1.0419922,-0.1921997,-0.039367676,0.234375,1.640625,-0.59375,35
36,1695772973079,-0.98876953,-0.1807251,-0.007873535,3.296875,1.625,-0.5,36
37,1695772973119,-1.0183105,-0.18170166,-0.0154418945,-1.484375,-0.421875,-0.078125,37
38,1695772973159,-1.0410156,-0.175354,-0.0335083,-0.453125,2.65625,-0.8125,38
39,1695772973199,-1.0195312,-0.1831665,-0.017150879,-0.765625,4.640625,-0.625,39
40,1695772973239,-1.0449219,-0.1975708,-0.022521973,-0.59375,3.265625,-0.15625,40
41,1695772973279,-1.03125,-0.18560791,-0.03302002,-0.203125,2.078125,-1.203125,41
42,1695772973319,-1.0217285,-0.17047119,0.01361084,-0.4375,1.859375,-0.671875,42
43,1695772973359,-1.0085449,-0.18609619,-0.00592041,0.328125,0.734375,-1.59375,43
44,1695772973399,-1.0053711,-0.2053833,-0.06866455,-3.453125,-4.671875,-2.0625,44
45,1695772973439,-1.0629883,-0.15753174,0.029724121,0.4375,1.953125,-1.015625,45
