,timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
0,1695772679965,-1.0058594,-0.0413208,-0.1741333,1.03125,0.015625,-0.46875
1,1695772680011,-1.0300293,-0.03741455,-0.21051025,-0.984375,-3.8125,-0.515625
2,1695772680039,-0.99853516,-0.044006348,-0.18804932,-1.5625,3.734375,-0.734375
3,1695772680085,-1.005127,-0.035217285,-0.16802979,-0.8125,-1.578125,-0.578125
4,1695772680114,-1.0119629,-0.04034424,-0.21124268,-2.09375,-1.78125,-0.375
5,1695772680160,-1.0183105,-0.03692627,-0.19610596,-1.703125,2.765625,-0.6875
6,1695772680205,-1.0136719,-0.039611816,-0.1843872,-0.890625,0.8125,-0.015625
7,1695772680235,-1.0119629,-0.038391113,-0.1897583,-1.671875,1.234375,-0.34375
8,1695772680280,-1.0058594,-0.035705566,-0.18145752,-1.265625,1.984375,-0.3125
9,1695772680325,-0.9946289,-0.03765869,-0.15997314,1.4375,2.28125,0.578125
10,1695772680356,-1.0068359,-0.039855957,-0.19561768,-0.171875,1.09375,-0.796875
11,1695772680400,-1.0224609,-0.03253174,-0.17901611,0.359375,1.734375,0.609375
12,1695772680429,-0.97094727,-0.042541504,-0.17730713,2.21875,4.6875,0.671875
13,1695772680475,-0.9953613,-0.034973145,-0.15240479,1.796875,4.234375,-1.3125
14,1695772680520,-1.0405273,-0.025939941,-0.17315674,-1.34375,-1.296875,0.828125
15,1695772680551,-1.0683594,-0.03326416,-0.1897583,-1.296875,3.328125,3.078125
16,1695772680597,-0.99975586,-0.04425049,-0.15216064,1.15625,5.6875,1.828125
17,1695772680642,-1.012207,-0.06768799,-0.16778564,0.28125,3.578125,0.171875
18,1695772680673,-0.99438477,-0.04425049,-0.16705322,-2.328125,1.734375,-3.03125
19,1695772680718,-1.0092773,-0.031555176,-0.10992432,-0.46875,3.21875,-2.484375
20,1695772680747,-1.0070801,-0.043518066,-0.14556885,0.125,-1.5,0.375
21,1695772680792,-0.98876953,-0.0154418945,-0.13360596,0.890625,-0.578125,1.0625
22,1695772680839,-1.029541,-0.043518066,-0.16436768,-0.078125,3.484375,-0.34375
23,1695772680869,-1.0634766,-0.022766113,-0.18341064,-1.375,-0.28125,-0.015625
24,1695772680912,-1.0512695,-0.04840088,-0.13970947,1.25,8.25,3.015625
25,1695772680963,-1.012207,-0.06451416,-0.11260986,1.96875,0.984375,1.296875
26,1695772680988,-0.9748535,-0.054504395,-0.14117432,-1.984375,-1.5625,-3.90625
27,1695772681033,-1.0253906,-0.02935791,-0.13970947,-2.671875,-2.5,-3.8125
28,1695772681063,-1.0090332,-0.043518066,-0.1663208,-3.0625,-7.09375,-0.421875
29,1695772681109,-1.017334,-0.023742676,-0.14434814,-2.421875,-2.921875,0.1875
30,1695772681152,-1.03125,-0.03741455,-0.15411377,1.25,-5.734375,0.71875
31,1695772681182,-1.0288086,-0.04473877,-0.18658447,-0.921875,-0.1875,-0.21875
32,1695772681228,-0.95336914,-0.038146973,-0.16192627,0.59375,2.875,0.453125
33,1695772681273,-1.0114746,-0.042297363,-0.16363525,-2.21875,4.328125,-3.125
34,1695772681302,-1.079834,-0.018371582,-0.16680908,-1.46875,1.71875,-0.359375
35,1695772681348,-1.0424805,-0.043518066,-0.14605713,-1.6875,1.453125,2.84375
36,1695772681379,-0.98535156,-0.05279541,-0.14996338,-1.15625,1.5,1.046875
37,1695772681424,-0.99487305,-0.0491333,-0.14654541,-2.53125,3.09375,-1.25
38,1695772681471,-1.0163574,-0.04840088,-0.15826416,-2.28125,3.28125,-1.625
39,1695772681497,-0.9929199,-0.04937744,-0.17462158,-2.984375,4.71875,-1.984375
40,1695772681542,-1.0236816,-0.022277832,-0.109436035,-1.125,11.375,-3.71875
41,1695772681589,-1.0134277,-0.045959473,-0.12335205,2.890625,8.046875,-2.15625
42,1695772681617,-0.9880371,0.001159668,-0.08917236,-1.109375,6.90625,-1.328125
43,1695772681662,-1.0288086,-0.0056762695,-0.09039307,-0.625,4.25,-2.796875
44,1695772681695,-1.065918,-0.02130127,-0.08795166,-1.6875,2.890625,1.453125
45,1695772681738,-1.0488281,-0.030334473,-0.062316895,-1.328125,-1.578125,3.09375
46,1695772681782,-1.0524902,-0.062805176,-0.11114502,-1.59375,-9.5625,1.671875
47,1695772681811,-1.0437012,-0.07476807,-0.18829346,-5.15625,-2.078125,-1.453125
48,1695772681857,-0.96875,-0.051330566,-0.11114502,-10.703125,-18.203125,1.515625
49,1695772681903,-0.99975586,-0.028137207,-0.14678955,-3.5,-9.0,1.375
50,1695772681931,-1.005127,-0.02960205,-0.15240479,1.828125,0.765625,0.03125
51,1695772681976,-1.0161133,-0.019836426,-0.13189697,12.71875,0.765625,-0.515625
52,1695772682007,-0.96435547,-0.03326416,-0.10675049,5.34375,8.203125,0.171875
53,1695772682053,-1.0473633,-0.022521973,-0.14508057,1.890625,8.78125,-1.484375
54,1695772682097,-1.0217285,-0.04083252,-0.11773682,0.984375,1.609375,1.484375
55,1695772682127,-1.0214844,-0.04888916,-0.113586426,-2.453125,2.046875,0.578125
56,1695772682173,-1.0563965,-0.034729004,-0.121154785,-1.953125,-2.15625,1.59375
57,1695772682217,-1.0144043,-0.07305908,-0.13018799,0.109375,-0.75,-0.765625
