,timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,ind
0,1695773234107,0.30273438,-0.34088135,-0.80181885,1.734375,3.953125,-0.578125,0
1,1695773234147,0.3125,-0.34210205,-0.86260986,1.734375,1.765625,-0.515625,1
2,1695773234187,0.3425293,-0.3574829,-0.8447876,-0.171875,-3.921875,0.71875,2
3,1695773234227,0.31811523,-0.3435669,-0.7932739,-2.296875,-3.125,0.359375,3
4,1695773234267,0.3293457,-0.34576416,-0.8501587,-1.140625,-1.1875,0.03125,4
5,1695773234307,0.3178711,-0.33746338,-0.786438,-1.359375,-1.46875,-0.15625,5
6,1695773234347,0.32861328,-0.34136963,-0.8123169,-2.28125,-2.140625,-0.21875,6
7,1695773234387,0.32421875,-0.3567505,-0.7744751,-3.90625,-2.21875,0.03125,7
8,1695773234427,0.32373047,-0.34698486,-0.81207275,-0.5,0.15625,-0.109375,8
9,1695773234467,0.3359375,-0.3604126,-0.80792236,-2.0625,-2.640625,0.1875,9
10,1695773234507,0.34057617,-0.3640747,-0.8189087,-3.84375,-5.421875,0.84375,10
11,1695773234547,0.35083008,-0.34503174,-0.788147,-1.75,-2.03125,0.8125,11
12,1695773234587,0.32592773,-0.35040283,-0.767395,-2.421875,2.78125,-0.984375,12
13,1695773234627,0.3383789,-0.3508911,-0.77838135,-0.6875,5.3125,-1.609375,13
14,1695773234667,0.33496094,-0.35699463,-0.80133057,-0.75,2.796875,-0.53125,14
15,1695773234707,0.33569336,-0.3574829,-0.7727661,1.546875,0.96875,0.671875,15
16,1695773234747,0.3474121,-0.36187744,-0.84161377,-0.5,1.640625,-0.015625,16
17,1695773234787,0.3227539,-0.35528564,-0.7727661,0.078125,2.90625,-0.90625,17
18,1695773234827,0.32299805,-0.3562622,-0.8233032,-2.640625,2.203125,-1.171875,18
19,1695773234867,0.3232422,-0.36480713,-0.833313,-0.59375,1.234375,-0.609375,19
20,1695773234907,0.3227539,-0.35479736,-0.81085205,-1.171875,-0.515625,-0.296875,20
21,1695773234947,0.3330078,-0.35894775,-0.78985596,0.6875,0.59375,-0.078125,21
22,1695773234987,0.3173828,-0.3513794,-0.7966919,1.53125,2.328125,-0.46875,22
23,1695773235027,0.32421875,-0.34527588,-0.80548096,1.0,0.390625,0.140625,23
24,1695773235067,0.3227539,-0.35333252,-0.81329346,1.15625,1.9375,-0.53125,24
25,1695773235107,0.31396484,-0.3574829,-0.79693604,2.0,1.578125,-0.265625,25
26,1695773235147,0.31835938,-0.3399048,-0.81451416,3.453125,1.25,0.1875,26
27,1695773235187,0.3046875,-0.3328247,-0.8023071,4.375,1.96875,0.140625,27
28,1695773235227,0.3232422,-0.32525635,-0.83062744,2.125,1.9375,-0.421875,28
29,1695773235267,0.3022461,-0.32940674,-0.78790283,3.546875,1.890625,-0.34375,29
30,1695773235307,0.31420898,-0.31427002,-0.83721924,2.796875,-3.34375,0.140625,30
31,1695773235347,0.32104492,-0.3369751,-0.82037354,0.71875,0.640625,0.609375,31
32,1695773235387,0.31420898,-0.31866455,-0.83135986,0.625,-3.8125,0.65625,32
33,1695773235427,0.3466797,-0.32891846,-0.84991455,-1.078125,-1.640625,0.453125,33
34,1695773235467,0.3022461,-0.31085205,-0.78326416,0.28125,-1.546875,0.328125,34
35,1695773235507,0.3330078,-0.3118286,-0.8225708,-1.75,-0.375,-0.59375,35
