,timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
0,1695741733338,0.45288086,-0.09283447,-0.80474854,-0.609375,-1.375,-0.171875
1,1695741733376,0.44628906,-0.09063721,-0.8088989,-0.71875,-1.546875,-0.28125
2,1695741733416,0.45532227,-0.08526611,-0.80841064,-0.65625,-1.921875,-0.203125
3,1695741733457,0.4555664,-0.08892822,-0.7984009,-0.578125,-1.1875,-0.296875
4,1695741733496,0.45507812,-0.08306885,-0.8023071,-0.53125,-1.078125,-0.171875
5,1695741733556,0.45898438,-0.086242676,-0.8023071,-0.515625,0.203125,-0.359375
6,1695741733576,0.45947266,-0.08087158,-0.79888916,-0.59375,0.140625,-0.25
7,1695741733598,0.45458984,-0.08453369,-0.79766846,-0.625,0.421875,-0.234375
8,1695741733675,0.45776367,-0.08331299,-0.80426025,-0.90625,-0.078125,-0.34375
9,1695741733679,0.45922852,-0.08770752,-0.80352783,-0.765625,-0.3125,-0.390625
10,1695741733716,0.46289062,-0.09039307,-0.8110962,-0.75,-1.0,-0.15625
11,1695741733756,0.45825195,-0.085998535,-0.79644775,-1.015625,-1.03125,-0.34375
12,1695741733796,0.4645996,-0.090148926,-0.7996216,-0.75,-1.171875,-0.21875
13,1695741733837,0.46557617,-0.0869751,-0.7949829,-0.9375,-1.90625,-0.234375
14,1695741733876,0.47143555,-0.08355713,-0.7852173,-0.703125,-0.234375,-0.3125
15,1695741733916,0.46679688,-0.082336426,-0.7913208,-0.671875,1.53125,-0.34375
16,1695741733957,0.4609375,-0.08868408,-0.7962036,-0.4375,1.21875,-0.203125
17,1695741733999,0.45825195,-0.09161377,-0.800354,-0.546875,1.078125,-0.453125
18,1695741734036,0.46313477,-0.089416504,-0.7966919,-0.546875,1.375,-0.171875
19,1695741734077,0.45483398,-0.08868408,-0.8008423,-0.5625,1.9375,-0.34375
20,1695741734117,0.4519043,-0.09112549,-0.7959595,-0.5625,2.515625,-0.28125
21,1695741734157,0.45776367,-0.08673096,-0.80718994,-0.46875,1.4375,-0.25
22,1695741734197,0.45629883,-0.08843994,-0.8069458,-0.625,1.109375,-0.359375
23,1695741734237,0.4567871,-0.08648682,-0.8076782,-0.75,0.078125,-0.234375
24,1695741734275,0.45263672,-0.09210205,-0.8076782,-0.625,0.109375,-0.1875
25,1695741734316,0.45874023,-0.08526611,-0.80474854,-0.75,0.140625,-0.109375
26,1695741734356,0.45117188,-0.08673096,-0.798645,-0.71875,0.984375,-0.265625
27,1695741734396,0.45239258,-0.09063721,-0.8040161,-0.71875,0.421875,-0.265625
28,1695741734436,0.4555664,-0.08258057,-0.80010986,-0.640625,0.59375,-0.3125
29,1695741734480,0.45263672,-0.08380127,-0.8032837,-0.421875,1.203125,-0.3125
30,1695741734516,0.4501953,-0.085754395,-0.80596924,-0.640625,1.640625,-0.40625
31,1695741734557,0.44799805,-0.08721924,-0.80841064,-0.640625,0.453125,-0.140625
32,1695741734597,0.4519043,-0.08135986,-0.80596924,-0.484375,0.96875,-0.34375
33,1695741734637,0.44067383,-0.08526611,-0.8130493,-0.609375,1.5,-0.21875
34,1695741734676,0.44360352,-0.08477783,-0.81036377,-0.71875,1.171875,-0.328125
35,1695741734716,0.44506836,-0.08526611,-0.8086548,-0.4375,1.765625,-0.328125
36,1695741734776,0.44091797,-0.08746338,-0.8088989,-0.5625,2.140625,-0.296875
37,1695741734797,0.43969727,-0.085998535,-0.8167114,-0.703125,-0.03125,-0.046875
38,1695741734816,0.4375,-0.08721924,-0.7996216,-0.484375,-0.046875,-0.1875
39,1695741734856,0.44311523,-0.08502197,-0.8130493,-0.546875,1.09375,-0.3125
40,1695741734896,0.44458008,-0.08673096,-0.8115845,-0.765625,0.578125,-0.34375
41,1695741734936,0.4404297,-0.08721924,-0.8052368,-0.640625,0.703125,-0.296875
42,1695741734976,0.43530273,-0.0881958,-0.81207275,-0.890625,0.4375,-0.234375
43,1695741735016,0.43676758,-0.078430176,-0.8130493,-0.453125,0.90625,-0.328125
44,1695741735056,0.4428711,-0.08380127,-0.80914307,-0.5625,0.96875,-0.28125
45,1695741735096,0.43652344,-0.08111572,-0.80792236,-0.640625,0.578125,-0.25
46,1695741735137,0.4350586,-0.08526611,-0.8052368,-0.609375,1.5625,-0.375
47,1695741735175,0.43798828,-0.0803833,-0.815979,-0.484375,1.015625,-0.421875
48,1695741735349,0.42993164,-0.08746338,-0.8123169,-0.5,0.9375,-0.25
49,1695741735350,0.4333496,-0.0791626,-0.81573486,-0.546875,1.609375,-0.53125
50,1695741735350,0.43237305,-0.08258057,-0.81988525,-0.375,1.9375,-0.3125
51,1695741735352,0.43359375,-0.08673096,-0.8189087,-0.578125,0.3125,-0.109375
52,1695741735376,0.4260254,-0.08843994,-0.8184204,-0.5,0.578125,-0.28125
53,1695741735415,0.4243164,-0.085510254,-0.8233032,-0.578125,1.28125,-0.390625
54,1695741735456,0.42651367,-0.08404541,-0.8201294,-0.671875,-0.109375,-0.25
55,1695741735496,0.42700195,-0.08477783,-0.81866455,-0.546875,0.71875,-0.171875
56,1695741735535,0.4243164,-0.08258057,-0.8250122,-0.25,1.03125,-0.234375
57,1695741735576,0.42333984,-0.085998535,-0.819397,-0.515625,0.859375,-0.171875
58,1695741735616,0.42773438,-0.08282471,-0.82037354,-0.609375,0.125,-0.203125
59,1695741735656,0.42871094,-0.0803833,-0.81695557,-0.828125,0.5,-0.203125
60,1695741735696,0.43115234,-0.08526611,-0.8220825,-0.5,0.875,-0.390625
61,1695741735735,0.4230957,-0.07745361,-0.82354736,-0.71875,0.46875,-0.1875
62,1695741735776,0.42333984,-0.08843994,-0.81817627,-0.71875,0.046875,-0.28125
63,1695741735816,0.42456055,-0.07891846,-0.8164673,-0.765625,1.03125,-0.34375
64,1695741735858,0.42358398,-0.08282471,-0.8220825,-0.84375,1.125,-0.53125
65,1695741735916,0.42138672,-0.085754395,-0.8245239,-0.921875,-0.625,-0.484375
66,1695741735937,0.42333984,-0.08331299,-0.8255005,-0.640625,-1.390625,-0.234375
67,1695741735978,0.42871094,-0.0881958,-0.8154907,-0.734375,-1.734375,-0.109375
68,1695741736016,0.4267578,-0.07720947,-0.8128052,-0.96875,-0.921875,-0.140625
69,1695741736037,0.42822266,-0.09161377,-0.8220825,-0.6875,-0.90625,-0.140625
70,1695741736076,0.42504883,-0.08428955,-0.82281494,-0.8125,-0.8125,-0.0625
71,1695741736116,0.43139648,-0.082092285,-0.8196411,-0.46875,-0.234375,-0.28125
72,1695741736156,0.43359375,-0.082092285,-0.8154907,-0.53125,0.046875,-0.1875
73,1695741736196,0.43139648,-0.08306885,-0.81500244,-0.578125,0.0625,-0.28125
74,1695741736237,0.43310547,-0.08087158,-0.8106079,-0.484375,-0.21875,-0.21875
75,1695741736277,0.43017578,-0.08380127,-0.8167114,-0.6875,0.515625,-0.34375
76,1695741736316,0.4326172,-0.08013916,-0.8171997,-0.46875,1.265625,-0.375
77,1695741736357,0.42993164,-0.08111572,-0.82110596,-0.640625,-0.046875,-0.328125
78,1695741736396,0.43017578,-0.082092285,-0.81085205,-0.65625,-0.671875,-0.1875
79,1695741736440,0.4326172,-0.08428955,-0.8152466,-0.546875,0.328125,-0.203125
80,1695741736477,0.4309082,-0.07989502,-0.8242798,-0.8125,-0.109375,-0.328125
81,1695741736517,0.42919922,-0.07525635,-0.8167114,-0.59375,-1.296875,-0.125
82,1695741736556,0.42944336,-0.08721924,-0.81695557,-0.90625,-0.28125,-0.34375
