,timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
0,1695772882059,0.29736328,-0.3633423,-0.8123169,0.6875,1.6875,-0.5625
1,1695772882103,0.3017578,-0.3567505,-0.82232666,-0.8125,-0.109375,-0.234375
2,1695772882133,0.30078125,-0.36138916,-0.81915283,-0.5,0.09375,-0.140625
3,1695772882178,0.29638672,-0.35211182,-0.7942505,0.640625,1.015625,-0.1875
4,1695772882208,0.29736328,-0.35699463,-0.8167114,-0.328125,1.203125,-0.390625
5,1695772882253,0.30151367,-0.3562622,-0.8128052,-0.859375,1.609375,-0.78125
6,1695772882299,0.29516602,-0.362854,-0.8179321,-0.78125,0.75,-0.375
7,1695772882329,0.30004883,-0.36138916,-0.82037354,-0.3125,0.421875,-0.171875
8,1695772882373,0.2939453,-0.35601807,-0.81134033,-0.640625,-0.265625,-0.03125
9,1695772882418,0.29858398,-0.3579712,-0.82159424,0.25,-0.671875,0.15625
10,1695772882450,0.29760742,-0.34552002,-0.80841064,-0.546875,-0.46875,0.078125
11,1695772882493,0.30126953,-0.3555298,-0.81427,-0.640625,-0.0625,-0.265625
12,1695772882523,0.29711914,-0.35699463,-0.81500244,-0.65625,-0.171875,-0.078125
13,1695772882568,0.29492188,-0.35528564,-0.8128052,-1.03125,-0.3125,-0.125
14,1695772882614,0.30517578,-0.35968018,-0.81451416,-0.984375,-0.171875,-0.078125
15,1695772882643,0.30004883,-0.35845947,-0.8074341,-0.640625,-0.578125,0.046875
16,1695772882689,0.30151367,-0.3574829,-0.8147583,-0.65625,-0.015625,-0.109375
17,1695772882735,0.30151367,-0.3567505,-0.8040161,-0.4375,-0.0625,-0.0625
18,1695772882764,0.30249023,-0.3513794,-0.82403564,-1.140625,0.28125,-0.484375
19,1695772882809,0.29467773,-0.35528564,-0.8049927,-0.15625,0.421875,-0.171875
20,1695772882856,0.3010254,-0.35699463,-0.8189087,-0.390625,0.390625,-0.3125
21,1695772882884,0.29736328,-0.35308838,-0.8098755,-0.203125,0.875,-0.375
22,1695772882929,0.30004883,-0.34869385,-0.8167114,-0.109375,0.421875,-0.234375
23,1695772882959,0.3059082,-0.35308838,-0.815979,-0.46875,0.15625,-0.25
24,1695772883003,0.29638672,-0.35284424,-0.8049927,0.359375,0.875,-0.1875
25,1695772883048,0.30249023,-0.35333252,-0.81866455,0.171875,0.890625,-0.34375
26,1695772883079,0.2998047,-0.35308838,-0.817688,-0.296875,0.828125,-0.484375
27,1695772883124,0.29711914,-0.3501587,-0.81915283,-0.328125,-0.390625,-0.03125
28,1695772883154,0.29833984,-0.35284424,-0.82232666,-1.46875,-0.125,-0.3125
29,1695772883200,0.30371094,-0.34918213,-0.8040161,-0.984375,-0.4375,-0.21875
30,1695772883243,0.3017578,-0.35162354,-0.8206177,-1.453125,-0.3125,-0.28125
31,1695772883275,0.29907227,-0.35601807,-0.80255127,-0.5,0.265625,-0.328125
32,1695772883320,0.30444336,-0.3501587,-0.8171997,-0.78125,0.4375,-0.46875
33,1695772883364,0.2980957,-0.34991455,-0.8115845,-0.25,0.453125,-0.328125
34,1695772883394,0.3022461,-0.35601807,-0.8206177,-0.671875,0.4375,-0.28125
35,1695772883439,0.30688477,-0.3447876,-0.8171997,-1.0625,0.484375,-0.359375
36,1695772883469,0.2998047,-0.34918213,-0.8140259,-0.984375,0.25,-0.421875
37,1695772883514,0.30200195,-0.3501587,-0.8130493,-1.03125,-0.234375,-0.375
38,1695772883559,0.29760742,-0.3562622,-0.8086548,-0.734375,0.5625,-0.546875
39,1695772883589,0.2980957,-0.35186768,-0.8130493,-0.734375,0.1875,-0.359375
40,1695772883634,0.2998047,-0.35308838,-0.8267212,-1.40625,-0.03125,-0.34375
41,1695772883680,0.3010254,-0.3574829,-0.8130493,-0.828125,-0.390625,0.015625
42,1695772883709,0.30810547,-0.3508911,-0.8110962,-1.53125,-0.8125,-0.078125
43,1695772883754,0.3034668,-0.35479736,-0.8069458,-1.390625,-0.421875,-0.125
44,1695772883785,0.30322266,-0.3538208,-0.8064575,-0.609375,0.078125,-0.28125
45,1695772883831,0.30395508,-0.3567505,-0.81451416,-0.828125,0.109375,-0.296875
46,1695772883875,0.3005371,-0.3550415,-0.81085205,-0.53125,0.03125,-0.1875
47,1695772883908,0.30322266,-0.362854,-0.81256104,-0.875,-0.171875,-0.453125
48,1695772883953,0.30517578,-0.3567505,-0.8027954,-0.921875,-0.21875,-0.21875
49,1695772884026,0.30126953,-0.35357666,-0.8118286,-0.78125,0.515625,-0.453125
50,1695772884033,0.3034668,-0.35992432,-0.80670166,-1.03125,0.390625,-0.171875
51,1695772884075,0.3059082,-0.35699463,-0.80181885,-0.578125,0.625,-0.21875
52,1695772884100,0.2980957,-0.36065674,-0.82037354,-0.671875,0.359375,-0.421875
53,1695772884145,0.2980957,-0.35211182,-0.80792236,-0.546875,0.328125,-0.296875
54,1695772884190,0.30566406,-0.36138916,-0.8118286,-0.625,0.375,-0.265625
55,1695772884219,0.30029297,-0.35211182,-0.8086548,-0.484375,0.171875,-0.375
56,1695772884263,0.30126953,-0.35723877,-0.8147583,-0.890625,0.71875,-0.421875
57,1695772884308,0.30688477,-0.3640747,-0.8074341,-0.34375,0.625,-0.4375
58,1695772884338,0.30297852,-0.34820557,-0.81085205,-0.03125,1.1875,-0.296875
59,1695772884385,0.2993164,-0.35845947,-0.8098755,-0.375,0.96875,-0.53125
60,1695772884414,0.30419922,-0.3579712,-0.817688,-0.890625,0.921875,-0.453125
61,1695772884463,0.2939453,-0.35845947,-0.81036377,-1.203125,0.84375,-0.625
62,1695772884504,0.29614258,-0.3587036,-0.82598877,-1.5625,0.8125,-0.390625
63,1695772884534,0.2902832,-0.34942627,-0.8032837,0.359375,0.875,-0.28125
64,1695772884579,0.28833008,-0.35235596,-0.8218384,-0.703125,0.65625,-0.375
65,1695772884625,0.28955078,-0.35845947,-0.8101196,0.015625,0.671875,-0.390625
66,1695772884654,0.29125977,-0.35040283,-0.8098755,0.375,0.984375,-0.21875
67,1695772884700,0.29614258,-0.36260986,-0.8255005,-2.046875,-0.28125,-0.40625
68,1695772884729,0.2919922,-0.35235596,-0.8057251,0.375,0.1875,0.015625
69,1695772884775,0.29833984,-0.3555298,-0.82281494,-0.375,-0.609375,0.15625
70,1695772884819,0.29760742,-0.3496704,-0.80548096,-0.703125,0.171875,-0.296875
71,1695772884849,0.2998047,-0.35845947,-0.8233032,-1.421875,0.5625,-0.59375
72,1695772884894,0.2932129,-0.3513794,-0.80548096,-0.046875,0.765625,-0.375
73,1695772884939,0.2902832,-0.35308838,-0.8049927,1.703125,0.953125,-0.015625
74,1695772884970,0.29003906,-0.3562622,-0.8167114,1.40625,0.828125,-0.109375
75,1695772885013,0.29174805,-0.3513794,-0.82037354,0.25,1.484375,-0.28125
76,1695772885043,0.29956055,-0.34820557,-0.83380127,-0.546875,0.59375,-0.328125
77,1695772885089,0.28955078,-0.35040283,-0.819397,-0.703125,0.859375,-0.46875
