,timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,ind
0,1695773280712,0.90966797,-0.17120361,0.22503662,3.703125,1.328125,2.484375,0
1,1695773280752,0.9111328,-0.16705322,0.24407959,-5.46875,-4.828125,-1.734375,1
2,1695773280792,0.9440918,-0.14923096,0.21673584,-10.84375,-1.609375,-8.8125,2
3,1695773280832,0.98291016,-0.20147705,0.22161865,-0.703125,4.40625,-7.421875,3
4,1695773280872,0.9814453,-0.2197876,0.24456787,4.171875,3.03125,2.4375,4
5,1695773280912,0.9057617,-0.1729126,0.22088623,7.734375,8.75,5.84375,5
6,1695773280952,0.90966797,-0.22735596,0.10028076,5.453125,20.296875,6.3125,6
7,1695773280992,0.9902344,-0.08843994,0.22747803,16.84375,24.453125,8.140625,7
8,1695773281032,1.0151367,-0.26348877,0.23358154,8.734375,-3.34375,4.140625,8
9,1695773281072,0.9970703,-0.12530518,0.07659912,-5.875,8.640625,0.34375,9
10,1695773281112,0.7692871,-0.10284424,0.14154053,-3.3125,-5.421875,-6.28125,10
11,1695773281152,1.041748,-0.19024658,0.14959717,7.109375,4.828125,-2.453125,11
12,1695773281192,1.0739746,-0.2234497,0.12982178,-5.953125,-9.71875,-2.703125,12
13,1695773281232,0.8808594,-0.2053833,0.18377686,-4.609375,-3.890625,2.921875,13
14,1695773281272,0.8967285,-0.08380127,0.13006592,4.203125,0.59375,5.265625,14
15,1695773281312,0.97143555,-0.13848877,0.17254639,-1.046875,-4.96875,-6.015625,15
16,1695773281352,0.9147949,-0.21807861,0.22064209,-3.203125,-5.453125,2.25,16
17,1695773281392,0.91015625,-0.1182251,0.17767334,1.875,1.625,4.59375,17
18,1695773281432,0.9404297,-0.18389893,0.18353271,-4.40625,-2.78125,-5.453125,18
19,1695773281472,0.9477539,-0.19268799,0.22113037,-11.921875,-6.9375,-6.421875,19
20,1695773281512,1.0061035,-0.19610596,0.25408936,-15.5625,-12.90625,-5.0,20
21,1695773281552,0.9797363,-0.27471924,0.25482178,-19.125,-13.875,-1.6875,21
22,1695773281592,0.8942871,-0.23052979,0.25628662,-16.609375,-14.296875,-4.09375,22
23,1695773281632,0.9094238,-0.109680176,0.21575928,-2.828125,4.703125,-2.484375,23
24,1695773281672,0.93847656,-0.04425049,0.2477417,1.34375,2.796875,0.125,24
25,1695773281712,0.9094238,-0.14019775,0.20550537,0.203125,-2.28125,-3.015625,25
26,1695773281752,0.873291,-0.124816895,0.23187256,12.03125,6.5,0.890625,26
27,1695773281792,0.97387695,-0.27423096,0.2658081,9.671875,2.71875,-3.609375,27
28,1695773281832,0.92822266,-0.25274658,0.25823975,-1.8125,-2.6875,-1.09375,28
29,1695773281872,0.95458984,-0.19659424,0.25286865,-1.59375,1.375,-1.140625,29
30,1695773281912,0.96240234,-0.17901611,0.20941162,-0.828125,6.515625,-0.09375,30
31,1695773281952,0.96484375,-0.1897583,0.22357178,-2.078125,-2.109375,0.0625,31
32,1695773281992,0.94750977,-0.16998291,0.21966553,1.96875,2.21875,-0.09375,32
33,1695773282032,0.8762207,-0.20074463,0.21600342,5.78125,12.234375,5.046875,33
34,1695773282072,0.9765625,-0.11407471,0.14227295,8.265625,19.296875,3.6875,34
35,1695773282112,1.0515137,-0.2576294,0.24920654,16.328125,9.3125,6.625,35
36,1695773282152,0.9074707,-0.18365479,0.21160889,-0.4375,1.0625,8.953125,36
37,1695773282192,0.8137207,-0.07183838,0.0602417,-8.203125,-0.90625,-6.421875,37
38,1695773282232,1.0253906,-0.20196533,0.22454834,8.25,6.796875,-7.4375,38
39,1695773282272,1.0129395,-0.25128174,0.18792725,-3.953125,-7.890625,3.265625,39
40,1695773282312,0.8051758,-0.12310791,0.2177124,-1.75,-1.34375,7.265625,40
41,1695773282352,0.98095703,-0.12701416,0.15692139,3.84375,9.828125,1.40625,41
42,1695773282392,0.95288086,-0.15509033,0.10076904,-7.234375,-8.640625,-5.53125,42
43,1695773282432,0.9855957,-0.18634033,0.1798706,-0.984375,8.15625,0.859375,43
44,1695773282472,0.9277344,-0.1453247,0.18939209,3.921875,-1.0625,4.546875,44
45,1695773282512,0.9470215,-0.2883911,0.18255615,-10.84375,-8.171875,-0.921875,45
46,1695773282552,0.88623047,-0.08013916,0.18377686,-11.859375,-11.328125,-1.78125,46
47,1695773282592,1.0163574,-0.18292236,0.3139038,-22.234375,-19.21875,-17.34375,47
48,1695773282632,0.9030762,-0.2600708,0.17132568,-5.3125,-8.015625,9.921875,48
49,1695773282672,0.86572266,-0.15289307,0.24334717,-6.109375,-9.109375,-3.890625,49
50,1695773282712,0.9147949,-0.07281494,0.31585693,-7.34375,1.453125,-7.875,50
51,1695773282752,0.9868164,-0.17242432,0.17767334,-6.09375,7.828125,-13.421875,51
52,1695773282792,0.89819336,-0.17315674,0.21722412,14.40625,20.90625,-2.375,52
53,1695773282832,1.1252441,-0.23931885,-0.013244629,24.109375,41.5,-6.5,53
54,1695773282872,0.9802246,-0.42388916,0.3180542,31.828125,4.59375,24.890625,54
55,1695773282912,0.8937988,-0.02545166,0.0848999,-11.296875,-1.65625,13.96875,55
56,1695773282952,0.8327637,-0.069885254,0.10858154,-8.828125,6.390625,-5.75,56
57,1695773282992,0.90234375,-0.08428955,0.10882568,-1.9375,2.1875,-20.5625,57
58,1695773283032,1.0932617,-0.3657837,0.13201904,-3.6875,-11.4375,-10.46875,58
59,1695773283072,0.91748047,-0.21221924,0.17401123,-1.0625,0.609375,17.859375,59
60,1695773283112,0.923584,-0.1428833,0.16009521,-7.0,-2.234375,-0.625,60
61,1695773283152,0.93652344,-0.29766846,0.15618896,-18.28125,-11.609375,-3.59375,61
62,1695773283192,1.005127,0.044128418,0.25164795,-18.78125,-20.34375,-13.625,62
63,1695773283232,0.9824219,-0.32525635,0.32904053,-14.859375,-21.46875,-0.15625,63
64,1695773283272,0.8347168,-0.20074463,0.12786865,0.8125,6.578125,10.15625,64
65,1695773283312,0.86865234,-0.14337158,0.28338623,-6.859375,-13.703125,-8.0,65
66,1695773283352,0.9326172,-0.1375122,0.23529053,2.1875,2.375,-5.53125,66
67,1695773283392,1.0136719,-0.20367432,0.13250732,12.71875,25.90625,-4.0,67
68,1695773283432,1.0505371,-0.25836182,0.06951904,31.3125,33.984375,5.75,68
69,1695773283472,0.935791,-0.25006104,0.21917725,27.765625,7.1875,17.1875,69
70,1695773283512,0.91625977,-0.20172119,0.17938232,3.015625,6.65625,13.15625,70
