,timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,ind
0,1695772925589,0.876709,-0.09576416,0.46307373,-0.375,-0.515625,-0.546875,0
1,1695772925629,0.8955078,-0.08258057,0.4730835,-0.359375,0.375,0.953125,1
2,1695772925669,0.91015625,-0.08087158,0.4701538,-2.046875,0.828125,-1.28125,2
3,1695772925709,0.8652344,-0.07598877,0.4484253,-1.84375,2.03125,0.296875,3
4,1695772925749,0.8959961,-0.06329346,0.45306396,1.859375,3.3125,-0.390625,4
5,1695772925789,0.8955078,-0.113098145,0.4640503,1.15625,-0.921875,0.546875,5
6,1695772925829,0.8913574,-0.07598877,0.46502686,0.5625,1.828125,0.109375,6
7,1695772925869,0.90185547,-0.09283447,0.4491577,3.84375,3.546875,-3.328125,7
8,1695772925909,0.8737793,-0.08453369,0.46453857,5.34375,1.46875,4.9375,8
9,1695772925949,0.90600586,-0.059143066,0.4545288,1.3125,2.46875,0.234375,9
10,1695772925989,0.9042969,-0.097717285,0.44378662,-0.328125,-1.953125,-3.484375,10
11,1695772926029,0.89086914,-0.09063721,0.47698975,-2.03125,-3.296875,-0.421875,11
12,1695772926069,0.88305664,-0.09454346,0.45648193,-1.65625,-0.546875,-1.484375,12
13,1695772926109,0.8852539,-0.10601807,0.46429443,-0.59375,-0.171875,0.53125,13
14,1695772926149,0.89990234,-0.07720947,0.4640503,-1.96875,-1.59375,-0.25,14
15,1695772926189,0.8737793,-0.09088135,0.46844482,-2.15625,-0.859375,0.203125,15
16,1695772926229,0.8625488,-0.093566895,0.45428467,-1.640625,2.671875,-0.125,16
17,1695772926269,0.88134766,-0.093322754,0.42816162,-0.765625,3.59375,0.875,17
18,1695772926309,0.904541,-0.05718994,0.45599365,-0.125,2.1875,-0.765625,18
19,1695772926349,0.89453125,-0.09210205,0.44451904,2.34375,1.765625,-1.953125,19
20,1695772926389,0.90356445,-0.1104126,0.4706421,1.59375,-0.40625,-0.296875,20
21,1695772926429,0.8925781,-0.101135254,0.4562378,-2.265625,1.6875,-0.90625,21
22,1695772926469,0.9104004,-0.12945557,0.4303589,-0.40625,1.78125,-0.09375,22
23,1695772926509,0.9248047,-0.04547119,0.44036865,-1.171875,-1.1875,-1.171875,23
24,1695772926549,0.8725586,-0.081604004,0.447937,-2.078125,-1.890625,-2.078125,24
25,1695772926589,0.8635254,-0.08843994,0.44403076,-0.96875,-0.203125,0.34375,25
26,1695772926629,0.8876953,-0.10772705,0.47210693,1.28125,-1.90625,-2.21875,26
27,1695772926669,0.88305664,-0.11260986,0.47650146,-0.203125,2.015625,2.1875,27
28,1695772926709,0.8935547,-0.07940674,0.4376831,-1.890625,1.53125,-0.359375,28
29,1695772926749,0.8881836,-0.08673096,0.43914795,-0.25,-0.796875,-0.953125,29
30,1695772926789,0.91186523,-0.08404541,0.4389038,0.328125,-0.734375,1.703125,30
31,1695772926829,0.89331055,-0.10479736,0.45013428,0.34375,-0.640625,0.140625,31
32,1695772926869,0.8925781,-0.10748291,0.46087646,-0.9375,0.421875,-1.53125,32
33,1695772926909,0.8972168,-0.11627197,0.42596436,-2.90625,1.53125,0.921875,33
34,1695772926949,0.8935547,-0.042785645,0.45599365,0.90625,-1.671875,1.828125,34
35,1695772926989,0.88842773,-0.101379395,0.4940796,0.5,-2.28125,-1.359375,35
36,1695772927029,0.88793945,-0.08770752,0.46697998,-3.859375,-2.765625,-3.953125,36
37,1695772927069,0.86938477,-0.120666504,0.45941162,-2.390625,-0.390625,-6.59375,37
38,1695772927109,0.89086914,-0.10284424,0.44744873,-0.875,-0.25,-0.390625,38
39,1695772927149,0.8835449,-0.077941895,0.4537964,-0.09375,0.3125,0.734375,39
40,1695772927189,0.89038086,-0.10699463,0.46063232,-0.765625,-1.28125,-0.6875,40
41,1695772927229,0.88378906,-0.10772705,0.45916748,-0.34375,-0.890625,-0.109375,41
42,1695772927269,0.875,-0.089660645,0.48284912,1.484375,0.28125,1.71875,42
43,1695772927309,0.8635254,-0.10284424,0.46722412,0.078125,0.15625,1.328125,43
44,1695772927349,0.88427734,-0.097717285,0.4520874,-0.890625,0.296875,-0.78125,44
45,1695772927389,0.8947754,-0.10040283,0.46209717,-1.140625,0.234375,-1.828125,45
