,timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,ind
0,1695741795157,0.09448242,-0.9312134,0.17913818,3.53125,-5.859375,-2.375,0
1,1695741795197,0.109375,-0.9963989,0.047546387,8.234375,-7.65625,1.703125,1
2,1695741795237,0.13916016,-1.0137329,0.101257324,-19.0625,2.140625,0.828125,2
3,1695741795277,0.13012695,-0.95098877,0.22210693,-7.609375,-1.109375,-1.859375,3
4,1695741795317,0.09814453,-0.9668579,0.16229248,4.25,-5.0,-1.46875,4
5,1695741795357,0.07006836,-0.9841919,0.1149292,-1.328125,-7.03125,-0.90625,5
6,1695741795397,0.0871582,-0.99713135,0.14666748,-7.40625,-3.171875,0.703125,6
7,1695741795437,0.0715332,-0.9920044,0.17230225,-5.109375,-2.015625,-1.0625,7
8,1695741795477,0.10253906,-0.97369385,0.15325928,-1.90625,-2.71875,-0.046875,8
9,1695741795517,0.09838867,-0.991272,0.15057373,-6.59375,-0.875,-0.609375,9
10,1695741795557,0.068115234,-0.97052,0.17474365,-6.21875,0.984375,0.375,10
11,1695741795597,0.080322266,-0.96588135,0.20135498,-0.375,0.703125,2.046875,11
12,1695741795637,0.107421875,-1.0066528,0.14569092,2.625,-1.90625,1.8125,12
13,1695741795677,0.14355469,-0.97735596,0.16351318,-6.609375,1.3125,4.234375,13
14,1695741795717,0.16845703,-0.93585205,0.23284912,-5.859375,-1.0625,3.859375,14
15,1695741795757,0.11645508,-1.0005493,0.19720459,8.234375,-4.765625,3.484375,15
16,1695741795797,0.099365234,-1.0010376,0.12640381,-0.046875,-4.890625,3.171875,16
17,1695741795837,0.115234375,-0.96099854,0.17962646,-6.5625,-4.3125,6.8125,17
18,1695741795877,0.2019043,-0.9661255,0.22625732,-1.625,-6.625,8.8125,18
19,1695741795917,0.24609375,-0.99298096,0.21282959,4.109375,-15.109375,10.859375,19
20,1695741795957,0.25024414,-0.97003174,0.22503662,-5.5625,-16.90625,11.875,20
21,1695741795997,0.1965332,-0.91119385,0.29241943,-3.0625,-21.28125,11.3125,21
22,1695741796037,0.19750977,-1.0054321,0.17425537,7.609375,-24.65625,10.9375,22
23,1695741796077,0.17407227,-0.9319458,0.21697998,-7.609375,-21.21875,13.28125,23
24,1695741796117,0.22851562,-0.8880005,0.36566162,-0.25,-19.03125,8.0625,24
25,1695741796157,0.16186523,-0.9351196,0.2921753,15.40625,-28.09375,5.265625,25
26,1695741796197,0.13720703,-1.005188,0.19720459,8.40625,-20.640625,3.859375,26
27,1695741796237,0.16333008,-0.9378052,0.31610107,-3.890625,-13.65625,1.21875,27
28,1695741796277,0.2409668,-0.9011841,0.2765503,9.03125,-14.671875,0.8125,28
29,1695741796317,0.26342773,-0.85284424,0.35247803,-2.234375,-10.921875,1.46875,29
30,1695741796357,0.2446289,-0.9224243,0.33343506,13.46875,-21.078125,1.125,30
31,1695741796397,0.18066406,-0.92559814,0.3168335,9.71875,-20.65625,-3.53125,31
32,1695741796437,0.10205078,-0.95318604,0.29632568,11.265625,-20.3125,-6.34375,32
33,1695741796477,0.11767578,-1.0200806,0.27874756,11.4375,-15.828125,-9.296875,33
34,1695741796517,0.20898438,-1.0947876,0.21942139,4.53125,-26.296875,-7.796875,34
35,1695741796557,0.18041992,-0.97540283,0.30926514,-2.609375,-16.609375,-10.140625,35
36,1695741796597,0.05029297,-0.8772583,0.29071045,2.609375,-13.875,-12.875,36
37,1695741796637,0.07446289,-0.86798096,0.21600342,-0.453125,-23.609375,-13.484375,37
38,1695741796677,0.09423828,-1.010315,0.21038818,2.1875,-16.1875,-10.78125,38
39,1695741796717,0.10449219,-1.1636353,0.17889404,5.28125,-9.953125,-8.953125,39
40,1695741796757,0.16601562,-1.0376587,0.08074951,15.78125,-2.046875,-4.0625,40
41,1695741796797,0.076416016,-0.9002075,0.047790527,22.546875,-7.0625,-4.71875,41
42,1695741796837,-0.021240234,-0.9968872,-0.08770752,21.84375,-7.1875,-6.890625,42
43,1695741796877,-0.014160156,-1.0928345,0.038024902,11.703125,-6.25,-7.15625,43
44,1695741796917,-0.079589844,-1.013977,0.109802246,6.640625,5.453125,-8.6875,44
45,1695741796957,-0.10424805,-0.93536377,0.055603027,12.96875,-1.59375,-2.984375,45
46,1695741796997,-0.041259766,-0.8584595,0.014587402,1.34375,-3.109375,-5.59375,46
47,1695741797037,0.026611328,-0.9138794,0.025817871,0.40625,-4.90625,-1.09375,47
