,timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
0,1695772434311,-0.13085938,-0.96173096,0.21038818,-1.046875,-1.90625,1.109375
1,1695772434356,-0.1550293,-1.0039673,0.21575928,0.921875,-0.59375,0.03125
2,1695772434386,-0.12792969,-1.0186157,0.2098999,-2.171875,-0.53125,-1.015625
3,1695772434431,-0.115478516,-0.9768677,0.21624756,-1.453125,1.515625,-2.546875
4,1695772434476,-0.10522461,-0.9763794,0.18841553,-1.203125,2.53125,-2.03125
5,1695772434506,-0.12109375,-0.95635986,0.19354248,-1.359375,0.21875,1.0
6,1695772434551,-0.12475586,-0.9717407,0.19744873,0.109375,0.21875,1.28125
7,1695772434581,-0.10571289,-1.0149536,0.21087646,-1.734375,0.234375,-0.75
8,1695772434626,-0.10498047,-0.98883057,0.21551514,-2.421875,-0.375,-1.265625
9,1695772434672,-0.10546875,-0.97906494,0.20135498,-2.765625,-2.078125,-1.171875
10,1695772434702,-0.122558594,-0.96832275,0.2189331,1.21875,-2.28125,-0.359375
11,1695772434747,-0.14672852,-1.010315,0.2506714,2.46875,1.765625,1.09375
12,1695772434792,-0.17602539,-0.95098877,0.20697021,8.109375,4.390625,4.828125
13,1695772434822,-0.13476562,-0.9763794,0.2033081,4.625,5.84375,3.84375
14,1695772434867,-0.07421875,-0.9993286,0.1762085,0.71875,1.734375,-3.65625
15,1695772434896,-0.100097656,-1.0344849,0.19085693,-2.203125,0.0,1.265625
16,1695772434943,-0.11376953,-1.0027466,0.19915771,-0.59375,0.59375,3.15625
17,1695772434988,-0.13793945,-0.93878174,0.19329834,-1.296875,1.515625,4.625
18,1695772435017,-0.095214844,-0.98101807,0.18865967,2.671875,2.90625,1.625
19,1695772435062,-0.064697266,-0.97442627,0.19256592,0.0625,2.015625,1.0625
20,1695772435111,-0.06640625,-0.9866333,0.18328857,0.453125,0.328125,0.296875
21,1695772435139,-0.0859375,-1.0022583,0.19598389,0.484375,0.21875,0.921875
22,1695772435186,-0.100097656,-1.0095825,0.17547607,-0.046875,-0.09375,2.09375
23,1695772435214,-0.11401367,-0.9834595,0.19134521,-1.9375,0.234375,1.578125
24,1695772435259,-0.07910156,-1.0093384,0.19378662,0.953125,3.140625,1.609375
25,1695772435302,-0.07763672,-0.98931885,0.17352295,1.125,2.9375,1.109375
26,1695772435333,-0.067871094,-0.9859009,0.18572998,0.078125,3.140625,-2.015625
27,1695772435381,-0.055908203,-0.9734497,0.15618896,4.640625,1.3125,-0.15625
28,1695772435423,-0.060302734,-0.9812622,0.1630249,4.0,-1.375,0.03125
29,1695772435454,-0.08959961,-1.0025024,0.17401123,7.171875,-0.046875,4.90625
30,1695772435499,-0.06958008,-1.0137329,0.15692139,0.265625,-0.125,0.015625
31,1695772435530,-0.09106445,-1.0003052,0.14959717,-3.109375,-1.515625,-4.328125
32,1695772435574,-0.0871582,-0.99346924,0.16595459,0.90625,0.5625,-2.0625
33,1695772435620,-0.07495117,-0.99786377,0.16082764,-2.8125,0.4375,-1.96875
34,1695772435649,-0.09008789,-0.986145,0.15228271,-2.828125,-1.046875,-2.125
35,1695772435697,-0.10083008,-0.9885864,0.16668701,-1.515625,-0.953125,-1.125
36,1695772435737,-0.0949707,-0.96466064,0.15472412,-1.78125,-0.65625,0.8125
37,1695772435769,-0.087646484,-0.9656372,0.15863037,-0.6875,-0.265625,-0.265625
38,1695772435815,-0.039794922,-0.99005127,0.17181396,-2.4375,-2.359375,-5.265625
39,1695772435845,-0.095214844,-1.0508423,0.16937256,-4.21875,-4.484375,-3.03125
40,1695772435889,-0.07128906,-1.0305786,0.2111206,-0.90625,-2.734375,-5.21875
41,1695772435934,-0.16259766,-1.0025024,0.16156006,-9.453125,-10.53125,1.671875
42,1695772435963,-0.16430664,-0.92803955,0.20037842,-1.921875,1.25,5.390625
43,1695772436009,-0.09472656,-0.98321533,0.18035889,-1.015625,3.21875,-4.515625
44,1695772436055,-0.11376953,-1.0125122,0.17474365,-4.15625,1.125,-3.375
45,1695772436086,-0.123291016,-0.991272,0.21820068,2.546875,0.421875,-2.1875
46,1695772436130,-0.12866211,-1.0088501,0.19915771,-0.4375,6.875,1.3125
47,1695772436159,-0.092285156,-0.9151001,0.15057373,-1.4375,3.40625,2.78125
48,1695772436204,-0.063964844,-0.9338989,0.18328857,5.8125,-0.59375,-1.078125
49,1695772436250,-0.07861328,-1.039856,0.19158936,3.75,-0.328125,-0.25
50,1695772436278,-0.075683594,-1.005188,0.17449951,-2.46875,-2.34375,-2.125
51,1695772436322,-0.092041016,-0.9717407,0.18695068,-0.21875,-0.109375,-2.296875
52,1695772436368,-0.10424805,-1.0337524,0.1876831,-0.59375,0.265625,-2.15625
53,1695772436400,-0.1538086,-0.987854,0.17230225,-2.765625,-2.421875,6.28125
54,1695772436447,-0.12573242,-0.93414307,0.1864624,-0.328125,-0.71875,0.328125
55,1695772436473,-0.119628906,-1.0298462,0.18914795,-1.203125,1.78125,-1.234375
56,1695772436517,-0.118652344,-0.9534302,0.19378662,2.125,3.234375,3.5625
57,1695772436565,-0.10668945,-0.97320557,0.15203857,-1.59375,0.34375,-2.25
58,1695772436595,-0.068115234,-0.98272705,0.18572998,-1.359375,1.515625,-4.5
59,1695772436640,-0.068603516,-1.0442505,0.19500732,-0.828125,0.796875,-0.859375
60,1695772436672,-0.09887695,-0.9968872,0.16888428,-1.9375,-1.71875,1.21875
61,1695772436715,-0.12597656,-0.9849243,0.18035889,-1.953125,-1.28125,-0.375
62,1695772436759,-0.11425781,-0.97052,0.19818115,-0.6875,0.8125,-0.25
63,1695772436787,-0.10571289,-0.98565674,0.16278076,0.234375,0.109375,0.03125
64,1695772436831,-0.09082031,-0.97076416,0.16937256,-1.046875,-0.515625,0.125
65,1695772436877,-0.14819336,-0.9841919,0.19281006,4.046875,1.359375,4.125
66,1695772436907,-0.09716797,-1.0357056,0.1762085,0.6875,3.5625,3.359375
67,1695772436953,-0.110839844,-0.95806885,0.15472412,-2.765625,1.96875,2.984375
68,1695772436982,-0.09887695,-0.98223877,0.18157959,-0.65625,3.6875,0.5
69,1695772437027,-0.06347656,-1.03302,0.18157959,-0.5625,1.359375,-0.125
70,1695772437074,-0.030517578,-1.0020142,0.18011475,-3.90625,-0.109375,-0.171875
71,1695772437103,-0.06689453,-0.9763794,0.16497803,-2.703125,-1.4375,0.5625
72,1695772437152,-0.07763672,-0.9702759,0.17352295,-0.78125,-3.1875,0.75
73,1695772437198,-0.0925293,-0.9710083,0.19476318,-2.15625,-3.734375,0.9375
74,1695772437222,-0.09033203,-0.99053955,0.19622803,0.25,-2.6875,0.421875
75,1695772437268,-0.084472656,-0.9741821,0.2218628,0.71875,-0.53125,0.09375
76,1695772437303,-0.09350586,-0.9927368,0.17034912,-3.3125,-1.09375,-1.890625
77,1695772437343,-0.07397461,-0.9553833,0.20941162,-0.375,-0.8125,-2.21875
78,1695772437391,-0.0769043,-1.022522,0.18670654,-2.09375,0.53125,-2.59375
79,1695772437419,-0.11035156,-0.9985962,0.18670654,-2.40625,-1.109375,0.53125
80,1695772437463,-0.09057617,-0.97784424,0.19989014,-0.359375,-0.265625,-0.625
81,1695772437511,-0.07861328,-1.0029907,0.19158936,-2.875,-0.90625,-2.03125
82,1695772437539,-0.075927734,-0.9824829,0.18963623,-1.390625,-0.15625,-1.453125
83,1695772437583,-0.10546875,-0.97052,0.18597412,-1.078125,-0.140625,-0.46875
84,1695772437615,-0.09472656,-0.97442627,0.18475342,-0.578125,-0.28125,0.46875
85,1695772437662,-0.08325195,-0.98809814,0.1876831,-1.09375,-0.25,-2.25
86,1695772437706,-0.09667969,-1.0125122,0.20355225,0.703125,-0.25,-0.953125
87,1695772437735,-0.10229492,-1.0015259,0.19793701,-0.25,-0.171875,-0.59375
88,1695772437778,-0.09765625,-0.97247314,0.19036865,1.53125,1.578125,-0.125
89,1695772437823,-0.10961914,-1.0003052,0.17669678,-1.53125,1.859375,-0.390625
90,1695772437854,-0.09667969,-0.97369385,0.18621826,-3.5625,-0.671875,-0.5
91,1695772437899,-0.1081543,-0.99591064,0.19525146,-2.5625,1.5,-0.546875
92,1695772437928,-0.11254883,-0.9837036,0.20794678,0.515625,2.40625,1.421875
93,1695772437975,-0.072509766,-0.9898071,0.19158936,-3.109375,2.328125,-3.40625
94,1695772438019,-0.088378906,-0.9795532,0.1876831,-2.5,0.53125,-2.203125
95,1695772438050,-0.1171875,-0.9673462,0.21575928,1.515625,0.828125,0.671875
