,timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z
0,1695809700147,0.4033203,-0.13183594,-0.90234375,0.125,0.15625,-0.125,0.0,0.0,0.0
1,1695809700238,0.4091797,-0.12890625,-0.9111328,0.0625,0.34375,-0.125,11.25,-16.625,-166.6875
2,1695809700239,0.3984375,-0.13085938,-0.91308594,0.0,0.15625,-0.125,0.0,0.0,0.0
3,1695809700268,0.4091797,-0.1328125,-0.9042969,0.0,0.34375,-0.0625,0.0,0.0,0.0
4,1695809700327,0.4111328,-0.13769531,-0.9140625,-0.0625,-0.03125,-0.1875,0.0,0.0,0.0
5,1695809700357,0.40234375,-0.1328125,-0.9121094,-0.125,-0.03125,-0.1875,0.0,0.0,0.0
6,1695809700387,0.41015625,-0.125,-0.91015625,-0.1875,-0.15625,-0.0625,0.0,0.0,0.0
7,1695809700448,0.4091797,-0.13085938,-0.9091797,-0.125,-0.21875,-0.125,0.0,0.0,0.0
8,1695809700478,0.39453125,-0.13378906,-0.9033203,-0.0625,0.03125,-0.0625,0.0,0.0,0.0
9,1695809700507,0.4033203,-0.12695312,-0.90625,-0.125,0.03125,0.0,0.0,0.0,0.0
10,1695809700568,0.40527344,-0.13183594,-0.90234375,0.125,0.09375,-0.125,0.0,0.0,0.0
11,1695809700598,0.39648438,-0.13378906,-0.91503906,0.125,0.15625,-0.1875,0.0,0.0,0.0
12,1695809700628,0.41015625,-0.13671875,-0.9091797,-0.125,-0.03125,-0.0625,0.0,0.0,0.0
13,1695809700688,0.4140625,-0.13085938,-0.91796875,-0.125,0.09375,-0.125,0.0,0.0,0.0
14,1695809700725,0.40625,-0.13671875,-0.91015625,-0.1875,0.03125,-0.1875,11.25,-17.8125,-164.875
15,1695809700749,0.41015625,-0.13085938,-0.8984375,0.0,0.09375,-0.0625,0.0,0.0,0.0
16,1695809700811,0.41308594,-0.13183594,-0.89746094,0.0625,0.21875,-0.1875,0.0,0.0,0.0
17,1695809700841,0.40820312,-0.13671875,-0.9003906,0.15625,0.15625,0.0,0.0,0.0,0.0
18,1695809700869,0.41796875,-0.12988281,-0.90722656,0.0625,0.34375,0.15625,0.0,0.0,0.0
19,1695809700930,0.41601562,-0.12792969,-0.9042969,-0.0625,0.03125,-0.125,0.0,0.0,0.0
20,1695809700960,0.41015625,-0.12792969,-0.9140625,-0.25,-0.09375,-0.125,0.0,0.0,0.0
21,1695809700991,0.39648438,-0.12792969,-0.9082031,-0.1875,0.03125,-0.1875,0.0,0.0,0.0
22,1695809701051,0.40820312,-0.13476562,-0.9033203,-0.125,-0.15625,-0.0625,0.0,0.0,0.0
23,1695809701080,0.40820312,-0.12792969,-0.9082031,0.0625,0.09375,-0.125,0.0,0.0,0.0
24,1695809701111,0.4033203,-0.13574219,-0.90234375,-0.125,-0.03125,0.0,0.0,0.0,0.0
25,1695809701170,0.40625,-0.12988281,-0.90625,0.125,0.09375,-0.0625,0.0,0.0,0.0
26,1695809701199,0.40625,-0.12890625,-0.9013672,0.125,0.09375,-0.1875,0.0,0.0,0.0
27,1695809701232,0.41308594,-0.12597656,-0.90527344,-0.125,-0.03125,-0.1875,9.75,-16.3125,-165.375
28,1695809701289,0.40820312,-0.12890625,-0.88964844,-0.0625,0.09375,-0.125,0.0,0.0,0.0
29,1695809701321,0.4091797,-0.12402344,-0.9160156,-0.0625,0.15625,-0.0625,0.0,0.0,0.0
30,1695809701350,0.4091797,-0.12011719,-0.91308594,0.0625,0.09375,-0.1875,0.0,0.0,0.0
31,1695809701410,0.40039062,-0.13671875,-0.9091797,0.125,0.28125,-0.1875,0.0,0.0,0.0
32,1695809701443,0.40625,-0.12988281,-0.9042969,0.28125,0.34375,-0.0625,0.0,0.0,0.0
33,1695809701470,0.41308594,-0.13867188,-0.90722656,0.3125,0.40625,0.03125,0.0,0.0,0.0
34,1695809701530,0.40527344,-0.13378906,-0.9082031,0.0625,0.21875,-0.15625,0.0,0.0,0.0
35,1695809701562,0.41210938,-0.13671875,-0.9003906,-0.0625,-0.0625,-0.15625,0.0,0.0,0.0
36,1695809701589,0.41503906,-0.13574219,-0.90722656,-0.125,-0.25,-0.09375,0.0,0.0,0.0
37,1695809701650,0.40820312,-0.12792969,-0.90234375,-0.125,-0.25,0.03125,0.0,0.0,0.0
38,1695809701683,0.41210938,-0.12792969,-0.9003906,-0.125,-0.125,-0.03125,0.0,0.0,0.0
39,1695809701710,0.39941406,-0.12402344,-0.89453125,0.1875,0.0,0.03125,11.25,-16.3125,-166.25
40,1695809701769,0.40527344,-0.12695312,-0.9169922,0.0625,0.0,-0.03125,0.0,0.0,0.0
41,1695809701802,0.4033203,-0.13085938,-0.9003906,0.1875,0.125,-0.15625,0.0,0.0,0.0
42,1695809701832,0.41015625,-0.12402344,-0.9091797,0.0,0.0625,-0.09375,0.0,0.0,0.0
43,1695809701888,0.41210938,-0.125,-0.91308594,-0.0625,0.0,-0.09375,0.0,0.0,0.0
44,1695809701922,0.40527344,-0.12890625,-0.9091797,-0.125,-0.0625,-0.15625,0.0,0.0,0.0
