,timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,ind
0,1695809609010,-0.7080078,0.34570312,-0.6484375,-0.3125,-0.9375,-0.25,0.0,0.0,0.0,0
1,1695809609050,-0.7236328,0.34375,-0.6484375,-0.53125,-0.8125,-0.1875,0.0,0.0,0.0,1
2,1695809609090,-0.71875,0.34960938,-0.640625,-0.3125,-0.75,-0.1875,0.0,0.0,0.0,2
3,1695809609130,-0.7216797,0.3515625,-0.6484375,-0.0625,-0.5,-0.0625,0.0,0.0,0.0,3
4,1695809609170,-0.7089844,0.3564453,-0.6347656,-0.0625,-0.5625,-0.25,0.0,0.0,0.0,4
5,1695809609210,-0.7207031,0.34960938,-0.6513672,0.0,0.0,-0.25,-47.6875,6.625,-176.75,5
6,1695809609250,-0.71484375,0.34472656,-0.6503906,0.1875,-0.25,-0.4375,0.0,0.0,0.0,6
7,1695809609290,-0.7158203,0.35351562,-0.6503906,0.0,0.0625,-0.1875,0.0,0.0,0.0,7
8,1695809609330,-0.71972656,0.35058594,-0.6455078,-0.125,-0.5,-0.25,0.0,0.0,0.0,8
9,1695809609370,-0.71875,0.3486328,-0.640625,-0.125,-0.375,-0.1875,0.0,0.0,0.0,9
10,1695809609410,-0.71777344,0.3408203,-0.6484375,0.0625,-0.3125,-0.0625,0.0,0.0,0.0,10
11,1695809609450,-0.7138672,0.35546875,-0.64746094,0.4375,0.0625,0.125,0.0,0.0,0.0,11
12,1695809609490,-0.7158203,0.35058594,-0.64941406,0.3125,0.21875,0.0625,0.0,0.0,0.0,12
13,1695809609530,-0.71484375,0.34765625,-0.6298828,0.3125,0.0,0.0,0.0,0.0,0.0,13
14,1695809609570,-0.7285156,0.34472656,-0.6425781,0.125,0.1875,0.0,0.0,0.0,0.0,14
15,1695809609610,-0.7158203,0.34765625,-0.6484375,0.375,0.65625,-0.1875,0.0,0.0,0.0,15
16,1695809609650,-0.7158203,0.34960938,-0.65527344,-0.1875,-0.1875,-0.25,0.0,0.0,0.0,16
17,1695809609690,-0.7158203,0.34570312,-0.6435547,-0.34375,0.0,0.125,-47.6875,5.4375,-177.625,17
18,1695809609730,-0.71875,0.3515625,-0.64941406,0.5625,-0.125,0.0625,0.0,0.0,0.0,18
19,1695809609770,-0.7109375,0.3564453,-0.6425781,0.625,-0.3125,-0.0625,0.0,0.0,0.0,19
20,1695809609810,-0.71484375,0.34375,-0.6308594,0.125,0.1875,0.3125,0.0,0.0,0.0,20
21,1695809609850,-0.71777344,0.35546875,-0.6425781,0.0,0.0625,0.125,0.0,0.0,0.0,21
22,1695809609890,-0.71777344,0.3544922,-0.6503906,0.375,0.34375,-0.0625,0.0,0.0,0.0,22
23,1695809609930,-0.71875,0.3515625,-0.6425781,0.875,0.65625,-0.25,0.0,0.0,0.0,23
24,1695809609970,-0.7080078,0.34179688,-0.6533203,0.3125,0.1875,-0.125,0.0,0.0,0.0,24
25,1695809610010,-0.7207031,0.35351562,-0.66015625,0.6875,0.59375,0.0,0.0,0.0,0.0,25
26,1695809610050,-0.7167969,0.34765625,-0.64941406,0.5625,0.125,-0.0625,0.0,0.0,0.0,26
27,1695809610090,-0.7080078,0.35546875,-0.6357422,0.25,0.34375,0.0625,0.0,0.0,0.0,27
28,1695809610130,-0.72265625,0.3564453,-0.6425781,0.75,0.21875,0.0,0.0,0.0,0.0,28
29,1695809610170,-0.7080078,0.3408203,-0.6435547,0.5625,0.28125,-0.0625,0.0,0.0,0.0,29
30,1695809610210,-0.7080078,0.34277344,-0.6455078,-0.1875,0.34375,0.1875,-48.75,5.875,-177.0625,30
31,1695809610250,-0.71777344,0.3515625,-0.64746094,0.25,-0.125,-0.1875,0.0,0.0,0.0,31
32,1695809610290,-0.71777344,0.3515625,-0.65234375,0.1875,0.28125,-0.0625,0.0,0.0,0.0,32
33,1695809610330,-0.7138672,0.34765625,-0.6513672,0.0625,0.0,-0.0625,0.0,0.0,0.0,33
34,1695809610370,-0.7109375,0.34570312,-0.65527344,0.25,0.0,0.0,0.0,0.0,0.0,34
35,1695809610410,-0.71777344,0.35351562,-0.6435547,0.125,0.0,-0.1875,0.0,0.0,0.0,35
36,1695809610450,-0.7158203,0.3486328,-0.6533203,-0.1875,-0.3125,0.0,0.0,0.0,0.0,36
37,1695809610490,-0.7128906,0.35351562,-0.6582031,0.4375,-0.0625,-0.125,0.0,0.0,0.0,37
38,1695809610530,-0.70703125,0.3486328,-0.6503906,0.1875,0.125,-0.3125,0.0,0.0,0.0,38
39,1695809610570,-0.7158203,0.34960938,-0.6542969,-0.125,-0.375,-0.25,0.0,0.0,0.0,39
40,1695809610610,-0.71484375,0.3466797,-0.64941406,-0.0625,-0.3125,-0.0625,0.0,0.0,0.0,40
41,1695809610650,-0.71191406,0.34570312,-0.63671875,0.125,-0.125,-0.1875,0.0,0.0,0.0,41
42,1695809610690,-0.7128906,0.35351562,-0.64746094,0.25,-0.0625,0.0,-49.375,7.25,-177.375,42
43,1695809610730,-0.70410156,0.3466797,-0.64453125,0.125,-0.125,-0.0625,0.0,0.0,0.0,43
44,1695809610770,-0.7158203,0.35546875,-0.64453125,0.0625,0.0625,-0.25,0.0,0.0,0.0,44
45,1695809610810,-0.703125,0.34960938,-0.64746094,-0.0625,-0.125,-0.125,0.0,0.0,0.0,45
46,1695809610850,-0.7138672,0.34570312,-0.66015625,0.5,0.28125,-0.25,0.0,0.0,0.0,46
47,1695809610890,-0.70996094,0.34570312,-0.64453125,0.1875,0.34375,0.0,0.0,0.0,0.0,47
48,1695809610930,-0.7158203,0.3544922,-0.65625,0.125,0.0625,-0.25,0.0,0.0,0.0,48
49,1695809610970,-0.70703125,0.3486328,-0.6582031,0.1875,0.53125,-0.25,0.0,0.0,0.0,49
50,1695809611010,-0.7089844,0.34472656,-0.6689453,-0.3125,-0.125,-0.0625,0.0,0.0,0.0,50
51,1695809611050,-0.7128906,0.3544922,-0.64746094,-0.125,-0.1875,-0.1875,0.0,0.0,0.0,51
