,timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,ind
0,1695809743618,-0.1953125,0.22363281,0.9707031,0.1875,0.46875,0.15625,0.0,0.0,0.0,0
1,1695809743658,-0.18847656,0.21875,0.9589844,0.25,0.34375,0.09375,0.0,0.0,0.0,1
2,1695809743698,-0.1953125,0.22265625,0.96777344,0.125,0.28125,0.15625,-44.125,10.5625,-88.5625,2
3,1695809743738,-0.19628906,0.21875,0.96777344,0.3125,0.53125,0.21875,0.0,0.0,0.0,3
4,1695809743778,-0.20898438,0.22949219,0.9667969,0.25,0.28125,0.21875,0.0,0.0,0.0,4
5,1695809743818,-0.203125,0.23242188,0.95996094,0.125,0.09375,0.21875,0.0,0.0,0.0,5
6,1695809743858,-0.19433594,0.22949219,0.96972656,0.0625,0.46875,0.15625,0.0,0.0,0.0,6
7,1695809743898,-0.19628906,0.22460938,0.98339844,-0.25,0.0,0.34375,0.0,0.0,0.0,7
8,1695809743938,-0.19628906,0.22851562,0.96972656,0.0,0.03125,0.15625,0.0,0.0,0.0,8
9,1695809743978,-0.19042969,0.22363281,0.96484375,0.125,0.28125,0.15625,0.0,0.0,0.0,9
10,1695809744018,-0.19335938,0.22460938,0.96484375,0.3125,0.34375,0.34375,0.0,0.0,0.0,10
11,1695809744058,-0.19921875,0.23339844,0.96972656,0.46875,0.46875,0.28125,0.0,0.0,0.0,11
12,1695809744098,-0.19726562,0.23730469,0.96875,0.0,0.21875,0.34375,0.0,0.0,0.0,12
13,1695809744138,-0.19726562,0.22558594,0.9628906,0.0,0.15625,0.15625,0.0,0.0,0.0,13
14,1695809744178,-0.20117188,0.23242188,0.95703125,0.0,0.03125,0.15625,0.0,0.0,0.0,14
15,1695809744218,-0.18945312,0.23339844,0.97558594,-0.1875,-0.25,0.34375,-44.375,11.875,-89.625,15
16,1695809744258,-0.20214844,0.22949219,0.96875,-0.125,-0.25,0.28125,0.0,0.0,0.0,16
17,1695809744298,-0.20507812,0.22949219,0.9667969,0.25,0.09375,0.21875,0.0,0.0,0.0,17
18,1695809744338,-0.20117188,0.23535156,0.9707031,0.3125,0.40625,0.15625,0.0,0.0,0.0,18
19,1695809744378,-0.19921875,0.22949219,0.9511719,0.3125,0.53125,0.15625,0.0,0.0,0.0,19
20,1695809744418,-0.19238281,0.23046875,0.96777344,0.0625,0.15625,0.28125,0.0,0.0,0.0,20
21,1695809744458,-0.19238281,0.22558594,0.96972656,0.4375,0.59375,0.21875,0.0,0.0,0.0,21
