,timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z
0,1695809743618,-0.1953125,0.22363281,0.9707031,0.1875,0.46875,0.15625,0.0,0.0,0.0
1,1695809743677,-0.18847656,0.21875,0.9589844,0.25,0.34375,0.09375,0.0,0.0,0.0
2,1695809743707,-0.1953125,0.22265625,0.96777344,0.125,0.28125,0.15625,-44.125,10.5625,-88.5625
3,1695809743737,-0.19628906,0.21875,0.96777344,0.3125,0.53125,0.21875,0.0,0.0,0.0
4,1695809743797,-0.20898438,0.22949219,0.9667969,0.25,0.28125,0.21875,0.0,0.0,0.0
5,1695809743828,-0.203125,0.23242188,0.95996094,0.125,0.09375,0.21875,0.0,0.0,0.0
6,1695809743857,-0.19433594,0.22949219,0.96972656,0.0625,0.46875,0.15625,0.0,0.0,0.0
7,1695809743917,-0.19628906,0.22460938,0.98339844,-0.25,0.0,0.34375,0.0,0.0,0.0
8,1695809743977,-0.19628906,0.22851562,0.96972656,0.0,0.03125,0.15625,0.0,0.0,0.0
9,1695809743978,-0.19042969,0.22363281,0.96484375,0.125,0.28125,0.15625,0.0,0.0,0.0
10,1695809744038,-0.19335938,0.22460938,0.96484375,0.3125,0.34375,0.34375,0.0,0.0,0.0
11,1695809744067,-0.19921875,0.23339844,0.96972656,0.46875,0.46875,0.28125,0.0,0.0,0.0
12,1695809744097,-0.19726562,0.23730469,0.96875,0.0,0.21875,0.34375,0.0,0.0,0.0
13,1695809744158,-0.19726562,0.22558594,0.9628906,0.0,0.15625,0.15625,0.0,0.0,0.0
14,1695809744189,-0.20117188,0.23242188,0.95703125,0.0,0.03125,0.15625,0.0,0.0,0.0
15,1695809744225,-0.18945312,0.23339844,0.97558594,-0.1875,-0.25,0.34375,-44.375,11.875,-89.625
16,1695809744279,-0.20214844,0.22949219,0.96875,-0.125,-0.25,0.28125,0.0,0.0,0.0
17,1695809744312,-0.20507812,0.22949219,0.9667969,0.25,0.09375,0.21875,0.0,0.0,0.0
18,1695809744340,-0.20117188,0.23535156,0.9707031,0.3125,0.40625,0.15625,0.0,0.0,0.0
19,1695809744400,-0.19921875,0.22949219,0.9511719,0.3125,0.53125,0.15625,0.0,0.0,0.0
20,1695809744432,-0.19238281,0.23046875,0.96777344,0.0625,0.15625,0.28125,0.0,0.0,0.0
21,1695809744460,-0.19238281,0.22558594,0.96972656,0.4375,0.59375,0.21875,0.0,0.0,0.0
22,1695809744520,-0.19335938,0.23339844,0.9628906,0.125,0.84375,0.09375,0.0,0.0,0.0
23,1695809744551,-0.203125,0.22851562,0.9667969,-0.1875,0.34375,0.15625,0.0,0.0,0.0
24,1695809744580,-0.1953125,0.2265625,0.96972656,0.0,0.15625,0.34375,0.0,0.0,0.0
25,1695809744640,-0.19628906,0.23339844,0.96191406,0.1875,0.28125,0.28125,0.0,0.0,0.0
26,1695809744672,-0.1953125,0.23242188,0.9580078,0.3125,0.15625,0.15625,0.0,0.0,0.0
27,1695809744701,-0.19335938,0.23144531,0.95410156,0.0,0.03125,0.28125,-44.6875,10.0625,-89.125
28,1695809744767,-0.19433594,0.23730469,0.96484375,0.0,0.21875,0.21875,0.0,0.0,0.0
29,1695809744792,-0.19726562,0.22460938,0.9580078,-0.3125,-0.1875,0.21875,0.0,0.0,0.0
30,1695809744818,-0.19921875,0.22363281,0.97558594,-0.3125,0.0,0.34375,0.0,0.0,0.0
31,1695809744881,-0.19140625,0.2265625,0.96972656,-0.4375,-0.1875,0.21875,0.0,0.0,0.0
32,1695809744912,-0.19335938,0.2265625,0.9628906,-0.5,-0.4375,0.28125,0.0,0.0,0.0
33,1695809744940,-0.20996094,0.23242188,0.9746094,-0.25,0.03125,0.34375,0.0,0.0,0.0
34,1695809745001,-0.20117188,0.23828125,0.9638672,-0.625,-0.3125,0.28125,0.0,0.0,0.0
35,1695809745031,-0.19335938,0.22949219,0.97265625,-0.84375,-1.0,0.40625,0.0,0.0,0.0
36,1695809745061,-0.19628906,0.234375,0.9667969,-0.8125,-0.75,0.28125,0.0,0.0,0.0
37,1695809745119,-0.19042969,0.23339844,0.9814453,-1.09375,-0.6875,0.09375,0.0,0.0,0.0
38,1695809745148,-0.20410156,0.23046875,0.9736328,-1.09375,-0.5625,0.15625,0.0,0.0,0.0
39,1695809745179,-0.19042969,0.22460938,0.9667969,-0.84375,-0.5,0.40625,0.0,0.0,0.0
40,1695809745240,-0.19335938,0.22851562,0.96972656,-0.84375,-0.6875,0.40625,-43.5,10.6875,-89.75
41,1695809745270,-0.19238281,0.22460938,0.9589844,-0.5,-0.25,0.28125,0.0,0.0,0.0
42,1695809745300,-0.19238281,0.234375,0.95996094,-0.5625,-0.5,0.21875,0.0,0.0,0.0
43,1695809745360,-0.18945312,0.2265625,0.9667969,-0.8125,-0.625,0.21875,0.0,0.0,0.0
44,1695809745388,-0.19335938,0.21679688,0.9658203,-0.6875,-0.375,0.15625,0.0,0.0,0.0
45,1695809745419,-0.20410156,0.22460938,0.9560547,-0.625,-0.5625,0.15625,0.0,0.0,0.0
46,1695809745481,-0.18652344,0.23144531,0.97265625,-0.5,-0.375,0.34375,0.0,0.0,0.0
47,1695809745511,-0.18945312,0.2265625,0.97265625,-0.375,-0.3125,0.21875,0.0,0.0,0.0
48,1695809745538,-0.19628906,0.22363281,0.9746094,-0.5,-0.25,0.21875,0.0,0.0,0.0
49,1695809745599,-0.19042969,0.22753906,0.96484375,-0.25,0.03125,0.34375,0.0,0.0,0.0
50,1695809745629,-0.19628906,0.21875,0.9658203,-0.375,-0.25,0.34375,0.0,0.0,0.0
51,1695809745659,-0.19238281,0.22265625,0.9667969,-0.6875,-0.5,0.28125,0.0,0.0,0.0
52,1695809745722,-0.19726562,0.22753906,0.9589844,-0.375,-0.3125,0.09375,-42.875,10.0625,-87.8125
53,1695809745751,-0.19042969,0.23632812,0.9589844,-0.5625,-0.3125,0.21875,0.0,0.0,0.0
54,1695809745811,-0.19921875,0.23144531,0.9628906,-0.90625,-0.5625,0.28125,0.0,0.0,0.0
55,1695809745842,-0.1953125,0.22265625,0.96875,-0.6875,-0.4375,0.15625,0.0,0.0,0.0
56,1695809745870,-0.18457031,0.22070312,0.9736328,-0.625,-0.375,0.21875,0.0,0.0,0.0
57,1695809745906,-0.20019531,0.2265625,0.96484375,-0.1875,0.03125,0.21875,0.0,0.0,0.0
58,1695809745960,-0.19140625,0.22753906,0.953125,-0.125,0.03125,0.09375,0.0,0.0,0.0
59,1695809745988,-0.19042969,0.21679688,0.9736328,-0.25,0.15625,0.21875,0.0,0.0,0.0
60,1695809746020,-0.19628906,0.21875,0.9765625,0.0,0.21875,0.15625,0.0,0.0,0.0
61,1695809746079,-0.1953125,0.22363281,0.96191406,-0.25,-0.125,0.09375,0.0,0.0,0.0
62,1695809746109,-0.19042969,0.21972656,0.97265625,-0.4375,-0.3125,0.15625,0.0,0.0,0.0
63,1695809746140,-0.18652344,0.22070312,0.9609375,-0.125,-0.0625,0.15625,0.0,0.0,0.0
64,1695809746200,-0.18554688,0.22558594,0.96484375,0.125,0.09375,0.21875,0.0,0.0,0.0
65,1695809746228,-0.19042969,0.22753906,0.9716797,0.0625,0.15625,0.21875,-44.125,10.8125,-88.5625
66,1695809746260,-0.1796875,0.22070312,0.9707031,0.3125,0.34375,0.28125,0.0,0.0,0.0
67,1695809746318,-0.20605469,0.22460938,0.97265625,0.375,0.46875,0.28125,0.0,0.0,0.0
68,1695809746348,-0.19335938,0.22265625,0.96191406,0.375,0.28125,0.21875,0.0,0.0,0.0
69,1695809746379,-0.18847656,0.22265625,0.9658203,0.25,0.59375,-0.03125,0.0,0.0,0.0
