,timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,ind
0,1695809657099,0.6923828,-0.23339844,0.6972656,-0.125,0.03125,-0.03125,0.0,0.0,0.0,0
1,1695809657139,0.68847656,-0.25097656,0.69140625,0.0625,0.09375,0.03125,0.0,0.0,0.0,1
2,1695809657179,0.6982422,-0.23730469,0.67871094,0.0,0.15625,-0.09375,0.0,0.0,0.0,2
3,1695809657219,0.6972656,-0.24316406,0.6826172,0.0,0.71875,0.15625,-0.625,-11.375,-83.3125,3
4,1695809657259,0.6904297,-0.23925781,0.6777344,-0.0625,0.96875,0.28125,0.0,0.0,0.0,4
5,1695809657299,0.7001953,-0.25097656,0.6845703,0.0,1.03125,0.15625,0.0,0.0,0.0,5
6,1695809657339,0.6953125,-0.24414062,0.7011719,0.0625,0.78125,0.09375,0.0,0.0,0.0,6
7,1695809657379,0.69433594,-0.24511719,0.68847656,0.125,0.65625,0.03125,0.0,0.0,0.0,7
8,1695809657419,0.69921875,-0.24414062,0.6855469,-0.0625,0.53125,0.03125,0.0,0.0,0.0,8
9,1695809657459,0.6953125,-0.24414062,0.69140625,-0.125,0.53125,0.09375,0.0,0.0,0.0,9
10,1695809657499,0.69433594,-0.23925781,0.6904297,0.125,0.46875,0.21875,0.0,0.0,0.0,10
11,1695809657539,0.7001953,-0.23730469,0.68359375,-0.1875,0.21875,0.40625,0.0,0.0,0.0,11
12,1695809657579,0.69628906,-0.25195312,0.6972656,0.0,0.46875,0.28125,0.0,0.0,0.0,12
13,1695809657619,0.69140625,-0.24316406,0.6982422,-0.0625,0.15625,0.28125,0.0,0.0,0.0,13
14,1695809657659,0.6894531,-0.24414062,0.6982422,-0.4375,-0.09375,0.28125,0.0,0.0,0.0,14
15,1695809657699,0.6923828,-0.24316406,0.703125,-0.0625,0.28125,0.21875,0.0,0.0,0.0,15
16,1695809657739,0.69433594,-0.23535156,0.68847656,-0.1875,-0.09375,0.21875,0.3125,-10.4375,-83.4375,16
17,1695809657779,0.69433594,-0.24121094,0.7001953,0.0,-0.09375,0.34375,0.0,0.0,0.0,17
18,1695809657819,0.6972656,-0.2421875,0.7001953,-0.125,-0.09375,0.15625,0.0,0.0,0.0,18
19,1695809657859,0.6845703,-0.25195312,0.6982422,-0.46875,0.03125,0.28125,0.0,0.0,0.0,19
20,1695809657899,0.69433594,-0.24609375,0.6894531,-0.0625,0.15625,0.21875,0.0,0.0,0.0,20
21,1695809657939,0.7001953,-0.24414062,0.69140625,-0.0625,0.09375,0.09375,0.0,0.0,0.0,21
22,1695809657979,0.6923828,-0.23144531,0.703125,-0.25,-0.09375,0.15625,0.0,0.0,0.0,22
23,1695809658019,0.6923828,-0.24316406,0.68847656,0.25,0.53125,0.09375,0.0,0.0,0.0,23
24,1695809658059,0.7011719,-0.24609375,0.69433594,-0.0625,0.21875,0.09375,0.0,0.0,0.0,24
25,1695809658099,0.7001953,-0.23925781,0.69140625,0.0625,0.53125,0.28125,0.0,0.0,0.0,25
26,1695809658139,0.69628906,-0.23730469,0.6953125,0.0,0.90625,0.40625,0.0,0.0,0.0,26
27,1695809658179,0.69140625,-0.23925781,0.69433594,0.1875,0.71875,0.28125,0.0,0.0,0.0,27
28,1695809658219,0.69921875,-0.234375,0.7060547,0.0625,0.09375,0.21875,-0.875,-10.0,-84.1875,28
29,1695809658259,0.70996094,-0.24414062,0.7011719,0.0,-0.1875,0.09375,0.0,0.0,0.0,29
30,1695809658299,0.6904297,-0.24121094,0.6826172,-0.25,-0.125,0.15625,0.0,0.0,0.0,30
31,1695809658339,0.69140625,-0.24414062,0.69921875,-0.1875,0.28125,0.15625,0.0,0.0,0.0,31
32,1695809658379,0.6953125,-0.24316406,0.70214844,0.0,0.21875,0.03125,0.0,0.0,0.0,32
33,1695809658419,0.6982422,-0.24609375,0.6972656,0.0625,0.65625,0.21875,0.0,0.0,0.0,33
34,1695809658459,0.69433594,-0.2421875,0.6982422,0.1875,0.78125,0.21875,0.0,0.0,0.0,34
35,1695809658499,0.6845703,-0.23339844,0.7001953,0.1875,0.65625,0.15625,0.0,0.0,0.0,35
36,1695809658539,0.68847656,-0.24121094,0.7080078,-0.125,0.21875,0.03125,0.0,0.0,0.0,36
37,1695809658579,0.6904297,-0.23144531,0.7011719,-0.3125,-0.4375,-0.03125,0.0,0.0,0.0,37
38,1695809658619,0.69140625,-0.23242188,0.6953125,-0.375,-0.5,-0.03125,0.0,0.0,0.0,38
39,1695809658659,0.6904297,-0.23730469,0.69628906,-0.375,-0.3125,0.09375,0.0,0.0,0.0,39
40,1695809658699,0.69628906,-0.2421875,0.68652344,0.0625,-0.03125,0.03125,0.0,0.0,0.0,40
