,timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z
0,1695809891759,0.4404297,0.8339844,-0.0029296875,-31.625,38.375,-15.28125,0.0,0.0,0.0
1,1695809891817,0.42773438,0.84277344,-0.026367188,-30.9375,36.78125,-21.5625,0.0,0.0,0.0
2,1695809891847,0.5,0.8613281,-0.03125,-27.78125,37.21875,-25.65625,0.0,0.0,0.0
3,1695809891878,0.40039062,0.93359375,0.10449219,-39.0625,24.5,-25.03125,0.0,0.0,0.0
4,1695809891937,0.3203125,0.9814453,0.08984375,-29.0625,34.53125,-10.9375,0.0,0.0,0.0
5,1695809891967,0.3359375,0.9863281,-0.1015625,-13.375,52.40625,-6.0625,0.0,0.0,0.0
6,1695809891997,0.6582031,0.79589844,0.022460938,3.0625,59.375,-9.53125,0.0,0.0,0.0
7,1695809892057,0.63378906,1.0517578,0.13378906,28.1875,19.9375,-3.5,0.0,0.0,0.0
8,1695809892087,0.55371094,1.2050781,0.31152344,47.78125,-27.3125,11.21875,0.0,0.0,0.0
9,1695809892116,0.27539062,1.1142578,0.1171875,72.625,-80.21875,25.5,0.0,0.0,0.0
10,1695809892178,0.3486328,1.2363281,-0.053710938,102.28125,-74.5625,7.25,0.0,0.0,0.0
11,1695809892207,0.23144531,1.140625,-0.06542969,107.1875,-39.03125,10.78125,-17.375,39.3125,-144.625
12,1695809892237,0.3046875,0.9794922,-0.0126953125,120.125,-35.78125,11.8125,0.0,0.0,0.0
13,1695809892297,0.38378906,0.8232422,-0.15820312,92.53125,-61.1875,4.375,0.0,0.0,0.0
14,1695809892327,0.29492188,0.875,-0.20410156,58.71875,-77.40625,13.03125,0.0,0.0,0.0
15,1695809892358,0.24902344,0.7324219,-0.2421875,46.75,-63.3125,19.625,0.0,0.0,0.0
16,1695809892419,0.20605469,0.6738281,-0.21679688,11.21875,-50.6875,19.6875,0.0,0.0,0.0
17,1695809892450,0.14355469,0.5957031,-0.2109375,-24.71875,-42.1875,3.65625,0.0,0.0,0.0
18,1695809892480,0.15625,0.58496094,-0.2734375,-30.03125,-13.09375,-9.0625,0.0,0.0,0.0
19,1695809892539,0.22949219,0.5546875,-0.38085938,-53.59375,32.25,-9.53125,0.0,0.0,0.0
20,1695809892569,0.40039062,0.83203125,-0.5136719,-69.03125,30.75,-6.90625,0.0,0.0,0.0
21,1695809892597,0.50683594,1.2578125,-0.5097656,-19.84375,-17.65625,6.09375,0.0,0.0,0.0
22,1695809892658,0.5214844,0.9707031,-0.6279297,6.40625,-32.75,4.3125,0.0,0.0,0.0
23,1695809892688,0.22851562,0.7939453,-0.4951172,-7.875,-32.875,31.65625,0.0,0.0,0.0
24,1695809892718,0.123046875,1.6396484,-0.3310547,-33.25,-24.6875,-2.84375,-19.8125,37.5625,-151.25
25,1695809892808,0.16015625,1.1591797,-0.17382812,8.125,7.25,-10.75,0.0,0.0,0.0
26,1695809892810,-0.01171875,0.60058594,0.0859375,-3.25,44.84375,14.6875,0.0,0.0,0.0
27,1695809892838,0.3720703,0.93066406,-0.044921875,-13.25,12.78125,-12.15625,0.0,0.0,0.0
