,timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,ind
0,1695809503830,0.3017578,-0.033203125,-0.96972656,0.03125,-0.21875,-0.25,0.0,0.0,0.0,211
1,1695809503870,0.29296875,-0.018554688,-0.98339844,-0.875,-0.40625,-0.1875,0.0,0.0,0.0,212
2,1695809503910,0.29589844,-0.013671875,-0.97753906,0.09375,-0.09375,-0.25,0.0,0.0,0.0,213
3,1695809503950,0.28515625,-0.022460938,-0.9814453,-0.5625,-0.34375,0.0,0.0,0.0,0.0,214
4,1695809503990,0.29003906,-0.016601562,-0.9824219,-0.5,-0.34375,-0.25,0.0,0.0,0.0,215
5,1695809504030,0.29296875,-0.026367188,-0.9824219,-0.03125,-0.03125,0.0,0.0,0.0,0.0,216
6,1695809504070,0.2939453,-0.017578125,-0.9736328,-0.4375,-0.15625,-0.4375,0.0,0.0,0.0,217
7,1695809504110,0.30078125,-0.0078125,-0.98535156,0.03125,0.09375,-0.375,0.0,0.0,0.0,218
8,1695809504150,0.3017578,-0.013671875,-0.9863281,-0.03125,0.15625,-0.25,0.0,0.0,0.0,219
9,1695809504190,0.3017578,-0.005859375,-0.98535156,-0.15625,-0.21875,-0.375,0.0,0.0,0.0,220
10,1695809504230,0.29785156,-0.013671875,-0.9824219,-0.09375,0.25,-0.25,-17.6875,-15.125,-163.125,221
11,1695809504270,0.29785156,-0.0126953125,-0.9892578,-0.21875,-0.34375,-0.25,0.0,0.0,0.0,222
12,1695809504310,0.296875,-0.0087890625,-0.9785156,-0.15625,0.25,-0.0625,0.0,0.0,0.0,223
13,1695809504350,0.30273438,-0.020507812,-0.9824219,-0.15625,0.09375,-0.25,0.0,0.0,0.0,224
14,1695809504390,0.2919922,-0.017578125,-0.9921875,-0.09375,-0.03125,-0.5625,0.0,0.0,0.0,225
15,1695809504430,0.2861328,-0.013671875,-0.97753906,0.15625,0.4375,-0.125,0.0,0.0,0.0,226
16,1695809504470,0.2939453,-0.0078125,-0.9814453,-0.09375,0.25,-0.0625,0.0,0.0,0.0,227
17,1695809504510,0.29882812,-0.0126953125,-0.9794922,-0.21875,0.21875,0.125,0.0,0.0,0.0,228
18,1695809504550,0.30273438,-0.015625,-0.9863281,-0.09375,-0.03125,0.125,0.0,0.0,0.0,229
19,1695809504590,0.29296875,-0.020507812,-0.9824219,-0.21875,-0.15625,0.0,0.0,0.0,0.0,230
20,1695809504630,0.29785156,-0.0146484375,-0.9716797,-0.09375,-0.03125,0.0,0.0,0.0,0.0,231
21,1695809504670,0.29101562,-0.021484375,-0.9794922,-0.25,-0.15625,0.0,0.0,0.0,0.0,232
22,1695809504710,0.2919922,-0.016601562,-0.9736328,-0.09375,-0.09375,-0.4375,-18.0,-13.3125,-163.375,233
23,1695809504750,0.30859375,-0.013671875,-0.9794922,-0.09375,-0.03125,-0.375,0.0,0.0,0.0,234
24,1695809504790,0.29296875,-0.009765625,-0.9814453,-0.25,-0.28125,-0.3125,0.0,0.0,0.0,235
25,1695809504830,0.2890625,-0.015625,-0.98339844,0.28125,-0.09375,-0.125,0.0,0.0,0.0,236
26,1695809504870,0.30664062,-0.016601562,-0.9824219,0.09375,0.09375,-0.0625,0.0,0.0,0.0,237
27,1695809504910,0.30273438,-0.018554688,-0.9736328,0.59375,0.21875,-0.125,0.0,0.0,0.0,238
