,timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,ind
0,1695809541899,0.31933594,0.9248047,-0.11425781,-0.0625,-0.34375,0.28125,0.0,0.0,0.0,0
1,1695809541939,0.31445312,0.9316406,-0.123046875,-0.125,-0.03125,0.03125,0.0,0.0,0.0,1
2,1695809541979,0.31152344,0.9160156,-0.12207031,0.375,0.21875,0.03125,0.0,0.0,0.0,2
3,1695809542019,0.3125,0.92089844,-0.119140625,0.125,0.46875,-0.09375,0.0,0.0,0.0,3
4,1695809542059,0.3173828,0.9316406,-0.12402344,0.125,0.03125,-0.03125,0.0,0.0,0.0,4
5,1695809542099,0.31640625,0.92285156,-0.12207031,-0.34375,-0.5,-0.03125,0.0,0.0,0.0,5
6,1695809542139,0.31445312,0.92871094,-0.12207031,-0.3125,-0.40625,0.21875,0.0,0.0,0.0,6
7,1695809542179,0.3173828,0.9238281,-0.125,0.3125,-0.15625,0.03125,0.0,0.0,0.0,7
8,1695809542219,0.31347656,0.9248047,-0.13378906,-0.125,-0.40625,0.15625,-14.125,37.0625,-136.375,8
9,1695809542259,0.3076172,0.9248047,-0.125,-0.0625,-0.09375,-0.15625,0.0,0.0,0.0,9
10,1695809542299,0.31445312,0.9345703,-0.13378906,-0.0625,0.09375,0.15625,0.0,0.0,0.0,10
11,1695809542339,0.3251953,0.92285156,-0.13085938,-0.0625,-0.625,0.03125,0.0,0.0,0.0,11
12,1695809542379,0.31347656,0.91796875,-0.13183594,-0.78125,-1.84375,0.21875,0.0,0.0,0.0,12
13,1695809542419,0.31054688,0.9238281,-0.12597656,-0.78125,-1.78125,0.28125,0.0,0.0,0.0,13
14,1695809542459,0.31152344,0.92871094,-0.12988281,-0.3125,-1.0,0.40625,0.0,0.0,0.0,14
15,1695809542499,0.31347656,0.9267578,-0.12207031,-0.0625,-1.0625,0.21875,0.0,0.0,0.0,15
16,1695809542539,0.32421875,0.9248047,-0.12597656,-0.3125,-0.9375,0.28125,0.0,0.0,0.0,16
17,1695809542579,0.31152344,0.9267578,-0.11425781,-0.71875,-0.4375,0.09375,0.0,0.0,0.0,17
18,1695809542619,0.32421875,0.9267578,-0.119140625,0.0625,0.28125,0.03125,0.0,0.0,0.0,18
19,1695809542659,0.3203125,0.93359375,-0.14648438,-0.53125,-0.40625,-0.21875,0.0,0.0,0.0,19
20,1695809542699,0.3232422,0.9277344,-0.125,-0.40625,-0.625,0.09375,-14.25,36.9375,-136.25,20
21,1695809542739,0.31933594,0.9267578,-0.12988281,-0.25,-0.8125,-0.03125,0.0,0.0,0.0,21
22,1695809542779,0.31445312,0.9277344,-0.125,0.25,-0.40625,-0.21875,0.0,0.0,0.0,22
23,1695809542819,0.30859375,0.9267578,-0.12109375,0.3125,0.34375,-0.15625,0.0,0.0,0.0,23
24,1695809542859,0.32617188,0.9199219,-0.13085938,0.1875,0.78125,-0.5625,0.0,0.0,0.0,24
25,1695809542899,0.31933594,0.9345703,-0.12402344,-0.1875,0.59375,-0.34375,0.0,0.0,0.0,25
26,1695809542939,0.31640625,0.9345703,-0.13378906,0.75,0.21875,-0.21875,0.0,0.0,0.0,26
27,1695809542979,0.30859375,0.9160156,-0.12792969,1.09375,0.65625,-0.09375,0.0,0.0,0.0,27
28,1695809543019,0.30859375,0.9375,-0.119140625,0.4375,0.03125,-0.03125,0.0,0.0,0.0,28
29,1695809543059,0.31152344,0.9267578,-0.123046875,0.5,0.46875,-0.21875,0.0,0.0,0.0,29
30,1695809543099,0.3125,0.92089844,-0.13769531,0.3125,0.21875,-0.40625,0.0,0.0,0.0,30
31,1695809543139,0.31347656,0.93359375,-0.1328125,-0.40625,-0.34375,-0.15625,0.0,0.0,0.0,31
32,1695809543179,0.31054688,0.9267578,-0.12109375,-0.1875,-0.40625,0.21875,0.0,0.0,0.0,32
33,1695809543219,0.3173828,0.93652344,-0.12597656,0.3125,0.34375,-0.03125,-13.8125,36.8125,-135.375,33
34,1695809543259,0.3154297,0.9277344,-0.125,0.6875,0.78125,0.03125,0.0,0.0,0.0,34
35,1695809543299,0.32226562,0.9267578,-0.13378906,0.0,-0.15625,-0.03125,0.0,0.0,0.0,35
36,1695809543339,0.31054688,0.9326172,-0.12988281,-0.40625,0.34375,-0.21875,0.0,0.0,0.0,36
37,1695809543379,0.3173828,0.92578125,-0.119140625,0.6875,0.875,-0.03125,0.0,0.0,0.0,37
38,1695809543419,0.30664062,0.9199219,-0.13085938,0.1875,0.46875,-0.15625,0.0,0.0,0.0,38
39,1695809543459,0.31933594,0.9199219,-0.12011719,0.0625,0.46875,0.03125,0.0,0.0,0.0,39
40,1695809543499,0.31640625,0.9277344,-0.13085938,0.125,0.21875,-0.03125,0.0,0.0,0.0,40
41,1695809543539,0.3173828,0.9189453,-0.12695312,-0.3125,-0.4375,-0.28125,0.0,0.0,0.0,41
42,1695809543579,0.3173828,0.93066406,-0.12695312,-0.0625,0.34375,-0.09375,0.0,0.0,0.0,42
43,1695809543619,0.31640625,0.9238281,-0.1171875,0.5,0.09375,0.09375,0.0,0.0,0.0,43
44,1695809543659,0.31152344,0.9277344,-0.12695312,0.0625,-0.34375,0.03125,0.0,0.0,0.0,44
45,1695809543699,0.3125,0.9267578,-0.13378906,-0.34375,-0.6875,-0.21875,-12.125,37.25,-135.5,45
46,1695809543739,0.31640625,0.92578125,-0.13378906,-0.1875,0.09375,-0.09375,0.0,0.0,0.0,46
47,1695809543779,0.32421875,0.9199219,-0.12988281,-0.0625,0.34375,-0.15625,0.0,0.0,0.0,47
48,1695809543819,0.30859375,0.92578125,-0.11816406,-0.65625,-0.03125,-0.40625,0.0,0.0,0.0,48
49,1695809543859,0.3125,0.9296875,-0.12597656,-0.84375,-0.5625,-0.40625,0.0,0.0,0.0,49
50,1695809543899,0.31152344,0.921875,-0.12792969,-0.34375,0.03125,-0.21875,0.0,0.0,0.0,50
51,1695809543939,0.31347656,0.9296875,-0.12011719,-0.59375,-0.15625,-0.34375,0.0,0.0,0.0,51
52,1695809543979,0.31347656,0.9238281,-0.12109375,-0.90625,-0.4375,-0.40625,0.0,0.0,0.0,52
53,1695809544019,0.3203125,0.92578125,-0.12207031,-1.03125,-0.09375,-0.21875,0.0,0.0,0.0,53
