,farm_id,house_id,init_age_days,init_weight_kg,avg_temp_c,humidity_pct,nh3_ppm,co2_ppm,stocking_density,feed_intake_kg,vaccinated,antibiotic_days,adg_kg_day,fcr,market_age_days,mortality
farm_id,1.0,-0.014103608776149476,0.015779683072247343,0.0025655690064131887,-0.013125167301115776,-0.002986810141042606,-0.014077696794491779,0.022807354467642364,0.0018310416297442683,-0.01366730904112185,0.005725670582895031,-0.0009267987524204265,0.012745691371191319,-0.03248138797263075,-0.011363693826896889,-0.0258292444888705
house_id,-0.014103608776149476,1.0,0.01404726790141621,0.007248584503661652,-0.02740315297275794,0.004845375894556492,-0.002466003540294951,-0.042757346325313195,0.0030778139630743477,-0.0004233571126914132,-0.006599382340839014,-0.027245974445456456,0.0049672944432916566,-0.0037703006101999087,-0.0005097018574165797,0.0025111025504677654
init_age_days,0.015779683072247343,0.01404726790141621,1.0,-0.010765628567806027,-0.0020655292984293775,0.023647657440420796,0.007799177438154504,-0.017655407891608733,-0.013416667527116462,0.01561206817410281,0.012673055347723528,-0.014419882483906993,0.0029871073934166197,0.01696110536215398,0.32299952483623146,0.04357649285566797
init_weight_kg,0.0025655690064131887,0.007248584503661652,-0.010765628567806027,1.0,-0.008644192641835292,0.0012189301730784175,0.027410438884821253,-0.01853594274196115,0.011736936473830088,0.014759825587400785,0.002466698949501883,0.03040117163412618,-0.008576312171127488,0.0261089720537448,-0.2352626298327485,0.016177236878627346
avg_temp_c,-0.013125167301115776,-0.02740315297275794,-0.0020655292984293775,-0.008644192641835292,1.0,-0.0017977253941740636,-4.058960442975381e-05,0.011817249398227326,-0.009077573535613798,0.008044682855967586,0.013499322885137601,0.0019383484178786582,-0.2386660936006597,0.30559588513358454,0.23049517747500328,-0.0106070786929023
humidity_pct,-0.002986810141042606,0.004845375894556492,0.023647657440420796,0.0012189301730784175,-0.0017977253941740636,1.0,-0.0265966235618411,-0.0033405890754282215,0.007177688957657521,-0.003288786358526179,0.013488022187998066,0.001320225048221675,0.023884067875823867,-0.02992704921850175,-0.01590715292744864,-0.005380629480710497
nh3_ppm,-0.014077696794491779,-0.002466003540294951,0.007799177438154504,0.027410438884821253,-4.058960442975381e-05,-0.0265966235618411,1.0,-0.028511732215009637,-0.013393486353472931,-0.0018243054699820405,-0.0015414428914451415,-0.014276581342993793,-0.22683835928972013,0.25414062885063815,0.19830767199488447,0.15530014948267326
co2_ppm,0.022807354467642364,-0.042757346325313195,-0.017655407891608733,-0.01853594274196115,0.011817249398227326,-0.0033405890754282215,-0.028511732215009637,1.0,-0.008175788355475375,0.012167559929875177,-0.002106698895129405,0.01839145227305953,0.0034372029070111505,0.008513426766352843,-0.0048308231282525255,0.004079732839963994
stocking_density,0.0018310416297442683,0.0030778139630743477,-0.013416667527116462,0.011736936473830088,-0.009077573535613798,0.007177688957657521,-0.013393486353472931,-0.008175788355475375,1.0,0.00376150166567268,0.002531175780984235,-0.00731656853913815,-0.1140493516427328,0.13292725622213386,0.09890197955165712,0.09129998926051096
feed_intake_kg,-0.01366730904112185,-0.0004233571126914132,0.01561206817410281,0.014759825587400785,0.008044682855967586,-0.003288786358526179,-0.0018243054699820405,0.012167559929875177,0.00376150166567268,1.0,-0.01312447667297587,-0.04337795569959638,0.6471699409218951,0.46319869843768785,-0.5812600778217315,-0.003444638067610356
vaccinated,0.005725670582895031,-0.006599382340839014,0.012673055347723528,0.002466698949501883,0.013499322885137601,0.013488022187998066,-0.0015414428914451415,-0.002106698895129405,0.002531175780984235,-0.01312447667297587,1.0,0.021622638928085674,0.05287430981738501,-0.07840955637713011,-0.04436080403889883,-0.10883023543937245
antibiotic_days,-0.0009267987524204265,-0.027245974445456456,-0.014419882483906993,0.03040117163412618,0.0019383484178786582,0.001320225048221675,-0.014276581342993793,0.01839145227305953,-0.00731656853913815,-0.04337795569959638,0.021622638928085674,1.0,-0.028966766229869743,-0.015641000863678468,0.016244454637216712,0.008007395750041373
adg_kg_day,0.012745691371191319,0.0049672944432916566,0.0029871073934166197,-0.008576312171127488,-0.2386660936006597,0.023884067875823867,-0.22683835928972013,0.0034372029070111505,-0.1140493516427328,0.6471699409218951,0.05287430981738501,-0.028966766229869743,1.0,-0.3679670461641688,-0.900172349598281,-0.06372295147158864
fcr,-0.03248138797263075,-0.0037703006101999087,0.01696110536215398,0.0261089720537448,0.30559588513358454,-0.02992704921850175,0.25414062885063815,0.008513426766352843,0.13292725622213386,0.46319869843768785,-0.07840955637713011,-0.015641000863678468,-0.3679670461641688,1.0,0.34411913708034914,0.06867209921157896
market_age_days,-0.011363693826896889,-0.0005097018574165797,0.32299952483623146,-0.2352626298327485,0.23049517747500328,-0.01590715292744864,0.19830767199488447,-0.0048308231282525255,0.09890197955165712,-0.5812600778217315,-0.04436080403889883,0.016244454637216712,-0.900172349598281,0.34411913708034914,1.0,0.06555814292721382
mortality,-0.0258292444888705,0.0025111025504677654,0.04357649285566797,0.016177236878627346,-0.0106070786929023,-0.005380629480710497,0.15530014948267326,0.004079732839963994,0.09129998926051096,-0.003444638067610356,-0.10883023543937245,0.008007395750041373,-0.06372295147158864,0.06867209921157896,0.06555814292721382,1.0
